Price,Miles,Trim,Year,Vin,City,State
36590,44943,M240i,2017,WBA2L1C39HV666796,Lansing,MI
33000,45177,M240i,2017,WBA2G1C58HV638932,Riverside,CA
38999,33977,M240i,2018,WBA2N1C54JVC27963,Vista,CA
42369,10276,M240i,2018,WBA2N1C50JVC28060,Phoenix,AZ
34871,52973,M240i,2018,WBA2N1C53JVC28070,Daytona Beach,FL
42988,16921,M240i,2019,WBA2J5C52KVC07862,Pensacola,FL
49850,8151,M240i,2020,WBA2N1C07L7D76377,Saint Louis,MO
39966,20092,M240i,2018,WBA2J5C52JVC07066,Baton Rouge,LA
39100,16228,M240i,2019,WBA2J5C50KVC07942,Whittier,CA
32998,60185,M240i,2017,WBA2G1C54HV638779,Pembroke Pines,FL
32998,43500,M240i,2017,WBA2L1C39HV666510,San Luis Obispo,CA
33500,51008,M240i,2017,WBA2G1C36HV639317,Fort Walton Beach,FL
36714,40750,M240i,2017,WBA2L1C30HV666556,Buena Park,CA
36988,19156,M240i,2018,WBA2J5C51JVC07284,Duluth,GA
29441,94854,M240i,2017,WBA2G1C3XHV665497,Naperville,IL
35900,25646,M240i,2017,WBA2L1C55HV666232,West Melbourne,FL
33999,57295,M240i,2017,WBA2G1C56HV665157,Bethany,CT
45999,11667,M240i,2020,WBA2N1C01L7D97239,Mckinney,TX
46495,12040,M240i,2018,WBA2J5C53JVB27971,Barrington,IL
49399,17212,M240i,2020,WBA2N1C05L7E20330,Silver Spring,MD
34995,49866,M240i,2017,WBA2L1C56HV666319,Hayward,CA
28995,76997,M240i,2017,WBA2G1C59HV638745,Dallas,TX
51991,20000,M240i,2019,WBA2N1C52KVC28479,Ocala,FL
49901,14670,M240i,2020,WBA2J5C05L7E00792,Knoxville,TN
50020,3595,M240i,2021,WBA2J5C00M7G30614,Escondido,CA
37990,31339,M240i,2018,WBA2J5C54JVC07148,Boston,MA
37888,24529,M240i,2018,WBA2J5C50JVC07616,N/A,N/A
38235,22865,M240i,2018,WBA2J5C59JVB27781,N/A,N/A
36995,39554,M240i,2018,WBA2J5C59JVC07663,N/A,N/A
47770,28132,M240i,2019,WBA2N1C57KVC28929,N/A,N/A
45303,19956,M240i-xDrive,2019,WBA2N3C59K7D31317,Oxnard,CA
47959,11642,M240i-xDrive,2019,WBA2N3C56KVE45884,Albuquerque,NM
47991,7068,M240i-xDrive,2020,WBA2N3C07L7D77878,Los Angeles,CA
45799,16387,M240i-xDrive,2019,WBA2J7C57K7D17399,Okemos,MI
34995,30077,M240i-xDrive,2017,WBA2G3C33HV641554,Valley Stream,NY
46325,14782,M240i-xDrive,2019,WBA2J7C51KVD61121,Beaverton,OR
42872,20011,M240i-xDrive,2019,WBA2J7C54K7D45337,White Plains,NY
48995,3374,M240i-xDrive,2019,WBA2J7C51K7D23263,Seattle,WA
47990,13283,M240i-xDrive,2020,WBA2J7C08L7E74901,Madison,WI
33990,75090,M240i-xDrive,2018,WBA2J7C51JVB28466,Ridgefield,CT
42990,29409,M240i-xDrive,2018,WBA2N3C55JVC29278,Ridgefield,CT
45999,25091,M240i-xDrive,2018,WBA2N3C51JVE45810,Vista,CA
47895,4764,M240i-xDrive,2020,WBA2J7C08L7E19784,Newton,NJ
48901,8787,M240i-xDrive,2020,WBA2J7C05L7E72300,Madison,WI
35899,57051,M240i-xDrive,2017,WBA2G3C32HV641299,Maplewood,NJ
51000,8873,M240i-xDrive,2021,WBA2J7C01M7G34800,Columbus,IN
38993,25037,M240i-xDrive,2017,WBA2G3C33H7A25330,Westborough,MA
38989,36592,M240i-xDrive,2017,WBA2L3C38HV667613,Barrington,IL
32598,32567,M240i-xDrive,2017,WBA2G3C39HV641509,Doral,FL
39995,43105,M240i-xDrive,2017,WBA2G3C55HV640973,Seattle,WA
46373,20335,M240i-xDrive,2019,WBA2J7C54KVD61209,Utica,NY
41990,47582,M240i-xDrive,2018,WBA2N3C58JVC29565,Fort Lauderdale,FL
42980,13351,M240i-xDrive,2017,WBA2L3C3XHV667323,Butler,PA
42995,17359,M240i-xDrive,2018,WBA2N3C51JVC29598,West Jefferson,NC
55970,9649,M240i-xDrive,2018,WBA2J7C52JVD60817,Rochelle Park,NJ
53287,7755,M240i-xDrive,2018,WBA2N3C50JVC29771,N/A,N/A
43998,14444,M240i-xDrive,2019,WBA2J7C55KVD61283,N/A,N/A
52079,6263,M240i-xDrive,2021,WBA2J7C0XM7G78004,N/A,N/A
