Price,Miles,Trim,Year,Vin,City,State
60995,25500,CS,2018,WBS8M9C51J5K98879,Oakland,CA
84987,10370,CS,2018,WBS8M9C56J5L00769,Farmington,UT
80991,25378,CS,2018,WBS8M9C5XJ5L71649,Houston,TX
100000,352,CS,2018,WBS8M9C51J5L01070,Miami,FL
82900,20884,CS,2018,WBS8M9C59J5L00880,Costa Mesa,CA
89991,5542,CS,2018,WBS8M9C5XJ5L71957,Calabasas,CA
88888,9775,CS,2018,WBS8M9C50J5L00332,Elk Grove,CA
87995,14844,CS,2018,WBS8M9C53J5L00907,Irvine,CA
82980,20020,CS,2018,WBS8M9C58J5L71844,Cincinnati,OH
78500,16394,CS,2018,WBS8M9C50J5L00895,Scottsdale,AZ
87995,15586,CS,2018,WBS8M9C53J5K99838,Weston,FL
62390,44585,CS,2018,WBS8M9C51J5J78287,Royersford,PA
82500,17655,CS,2018,WBS8M9C59J5L71917,Atlanta,GA
79652,18335,CS,2018,WBS8M9C5XJ5K99349,Pompano Beach,FL
84999,13123,CS,2018,WBS8M9C53J5K99368,Clifton,NJ
95000,3913,CS,2018,WBS8M9C58J5K99916,Jupiter,FL
89999,22838,CS,2018,WBS8M9C5XJ5K99674,N/A,N/A
85777,2655,Competition,2021,WBS33AY01MFK83485,Newport Beach,CA
55900,17681,Unspecified,2016,WBS8M9C54G5D30123,Kahului,HI
57988,37568,Unspecified,2018,WBS8M9C53J5J79196,Ventura,CA
61590,21652,Unspecified,2018,WBS8M9C59J5K98435,Tampa,FL
15699,89910,Unspecified,2002,WBSBR93492PK00346,Houston,TX
58577,29690,Unspecified,2018,WBS8M9C51J5K98672,Eugene,OR
58976,29312,Unspecified,2017,WBS8M9C57H5G84736,Tampa,FL
58945,40987,Unspecified,2018,WBS8M9C5XJ5L00550,Houston,TX
65795,14103,Unspecified,2018,WBS8M9C52J5K99958,Beaverton,OR
70502,5001,Unspecified,2018,WBS8M9C54J5K99489,Phoenix,AZ
63980,20089,Unspecified,2018,WBS8M9C58J5L71679,Cincinnati,OH
59800,32305,Unspecified,2018,WBS8M9C50J5J80290,Arlington Heights,IL
53995,35765,Unspecified,2017,WBS8M9C52H5G42104,San Jose,CA
59894,22316,Unspecified,2018,WBS8M9C53J5K98575,Catonsville,MD
46990,59241,Unspecified,2016,WBS8M9C53GP966629,Beaverton,OR
59396,31877,Unspecified,2018,WBS8M9C55J5K99226,Greenville,SC
61990,28319,Unspecified,2018,WBS8M9C51J5J77902,Pompano Beach,FL
43997,74409,Unspecified,2016,WBS8M9C52G5D30475,Lithia Springs,GA
64999,9656,Unspecified,2018,WBS8M9C55J5L71512,Maple Shade,NJ
55994,30177,Unspecified,2018,WBS8M9C59J5J79509,Mckinney,TX
49500,54075,Unspecified,2017,WBS8M9C58H5G42284,Macon,GA
58998,35980,Unspecified,2018,WBS8M9C57J5K99292,Oxnard,CA
53911,26949,Unspecified,2017,WBS8M9C31H5G86044,Indianapolis,IN
20984,131715,Unspecified,2009,WBSWD93559P361375,Everett,WA
44800,51119,Unspecified,2015,WBS3C9C56FP803534,Northbrook,IL
61995,18529,Unspecified,2018,WBS8M9C59J5L01124,Hayward,CA
19000,69294,Unspecified,2002,WBSBR93492EX24835,Hillsboro,OR
68500,5222,Unspecified,2018,WBS8M9C57J5L00974,Vienna,VA
62999,22902,Unspecified,2018,WBS8M9C53J5L00759,Santa Clara,CA
57975,39848,Unspecified,2018,WBS8M9C59J5J79946,Corona,CA
19999,99500,Unspecified,2003,WBSBL93433JR21820,Pittsfield,MA
55990,38831,Unspecified,2018,WBS8M9C57J5K98675,Jamaica,NY
60997,11244,Unspecified,2018,WBS8M9C58J5J79999,Las Vegas,NV
43491,63173,Unspecified,2015,WBS3C9C52FP804082,Roswell,GA
55900,17681,Unspecified,2016,WBS8M9C54G5D30123,Kahului,HI
38595,81512,Unspecified,2015,WBS3C9C55FJ276136,Reno,NV
58995,34808,Unspecified,2018,WBS8M9C51J5K99496,Newton,NJ
64955,19717,Unspecified,2018,WBS8M9C57J5K98353,Salinas,CA
56900,13847,Unspecified,2017,WBS8M9C54H5G84502,Scottsdale,AZ
58991,21749,Unspecified,2018,WBS8M9C58J5J78707,Houston,TX
52705,44961,Unspecified,2017,WBS8M9C59H5G84057,Naperville,IL
62880,14457,Unspecified,2018,WBS8M9C58J5K98796,Palo Alto,CA
61590,21652,Unspecified,2018,WBS8M9C59J5K98435,Tampa,FL
58950,34245,Unspecified,2018,WBS8M9C5XJ5K99528,Whittier,CA
27499,64732,Unspecified,2011,WBSDX9C59BE584034,Inglewood,CA
11295,189761,Unspecified,2003,WBSBR93463PK03285,Concord,NC
30888,75760,Unspecified,2011,WBSKG9C54BE645863,San Jose,CA
53990,20231,Unspecified,2016,WBS8M9C53G5E68011,Hartford,CT
62805,45811,Unspecified,2018,WBS8M9C57J5K99941,Chandler,AZ
66800,15178,Unspecified,2018,WBS8M9C53J5J78842,Chicago,IL
64437,20695,Unspecified,2018,WBS8M9C58J5L01261,Miami,FL
50998,53044,Unspecified,2017,WBS8M9C53H5G41995,Webster,TX
62500,26847,Unspecified,2018,WBS8M9C5XJ5K98668,Westerly,RI
28995,59089,Unspecified,2013,WBSDX9C58DE785314,Lindenhurst,NY
57950,21895,Unspecified,2017,WBS8M9C50H5G42277,Houston,TX
60590,18342,Unspecified,2018,WBS8M9C54J5K99203,Minneapolis,MN
38000,103274,Unspecified,2015,WBS3C9C59FP803169,Apopka,FL
16849,85790,Unspecified,2003,WBSBR93483PK01571,Virginia Beach,VA
58990,15712,Unspecified,2017,WBS8M9C36H5G85147,Daly City,CA
17995,102672,Unspecified,2005,WBSBR934X5PK09660,West Chicago,IL
25323,95363,Unspecified,2011,WBSPM9C59BE202817,Mesa,AZ
29899,73582,Unspecified,2013,WBSDX9C50DE785310,San Diego,CA
23999,94534,Unspecified,2009,WBSWL93529P332208,Costa Mesa,CA
18585,150512,Unspecified,2009,WBSWD93539P361083,Ramsey,NJ
23999,91327,Unspecified,2008,WBSVA93588E041076,Corona,CA
55400,42620,Unspecified,2017,WBS8M9C53H5G42368,Tulsa,OK
67552,14039,Unspecified,2018,WBS8M9C51J5L71457,Pembroke Pines,FL
64988,29687,Unspecified,2018,WBS8M9C50J5L00721,Salinas,CA
23995,115719,Unspecified,2008,WBSVA93548E216083,Spotsylvania,VA
44498,53116,Unspecified,2015,WBS3C9C5XFP806078,Madison,WI
65184,25594,Unspecified,2018,WBS8M9C53J5K98835,Bloomington,MN
53500,41129,Unspecified,2017,WBS8M9C53H5G84023,Scottsdale,AZ
60838,47230,Unspecified,2018,WBS8M9C52J5J79044,Charlotte,NC
58901,38274,Unspecified,2017,WBS8M9C56H5G84274,Knoxville,TN
68000,14242,Unspecified,2018,WBS8M9C53J5L00261,Scottsdale,AZ
28000,89052,Unspecified,2009,WBSWD93589PY43872,Noblesville,IN
70996,22888,Unspecified,2018,WBS8M9C5XJ5L00399,Westmont,IL
30500,74529,Unspecified,2008,WBSWD93568PY42329,Beaverton,OR
44999,59828,Unspecified,2015,WBS3C9C53FP804673,Nixa,MO
27995,90358,Unspecified,2009,WBSWD93539P361987,West Palm Beach,FL
58950,31807,Unspecified,2017,WBS8M9C33H5G85011,Greenwich,CT
64977,28221,Unspecified,2018,WBS8M9C58J5K99494,Barrington,IL
27999,51970,Unspecified,2008,WBSWL93588P331031,Eugene,OR
66995,21030,Unspecified,2018,WBS8M9C51J5J79827,Greenwood Village,CO
69895,12292,Unspecified,2018,WBS8M9C51J5J79701,Westbury,NY
49991,84904,Unspecified,2018,WBS8M9C59J5J79686,Houston,TX
