Price,Miles,Trim,Year,Vin,City,State
85995,1005,Z06,2016,1G1YS3D62G5610372,Missoula,MT
79995,515,Z06,2017,1G1YU2D62H5603461,Ogden,UT
86995,1256,Z06,2017,1G1YS2D65H5606036,Seattle,WA
88711,3400,Z06,2017,1G1YU3D65H5605064,Lincolnton,NC
84899,6564,Z06,2017,1G1YP3D63H5605717,Marlton,NJ
89999,3507,Z06,2019,1G1YT2D61K5602733,Sandy,OR
76000,7696,Z06,2016,1G1YN2D6XG5607768,NAPERVILLE,IL
84999,6756,Z06,2018,1G1YP3D62J5600210,Red Springs,NC
27990,36236,Z06,2002,1G1YY12S025106852,Manistee,MI
84490,2360,Z06,2019,1G1YS2D66K5604173,Wood River,IL
79761,7000,Z06,2017,1G1YS2D60H5601309,Salisbury,MD
82950,6768,Z06,2019,1G1YP2D62K5602292,Windom,MN
74495,21452,Z06,2017,1G1YN2D64H5602101,Tulsa,OK
77996,4633,Z06,2015,1G1YU2D66F5607445,Archbold,OH
79888,5046,Z06,2017,1G1YP2D62H5604522,Marietta,GA
82800,3560,Z06,2015,1G1YR3D61F5606727,Saint Louis,MO
85017,6296,Z06,2016,1G1YT2D6XG5609316,Knoxville,TN
80500,2200,Z06,2015,1G1YU3D69F5602892,Redford,MI
82997,4400,Z06,2016,1G1YS2D67G5610717,Sewell,NJ
86959,1727,Z06,2016,1G1YT2D67G5607720,San Antonio,TX
32559,18266,Z06,2003,1G1YY12S835104168,Morton Grove,IL
76499,11759,Z06,2017,1G1YS2D67H5600271,Washington,DC
70086,30787,Z06,2015,1G1YT3D60F5601729,Novi,MI
72998,16233,Z06,2017,1G1YN2D62H5605658,Clarkston,MI
79900,20218,Z06,2016,1G1YU2D64G5602570,Knoxville,TN
85580,7261,Z06,2016,1G1YU3D68G5604828,Novi,MI
83999,9736,Z06,2019,1G1YS2D60K5602337,Dayton,OH
67895,34882,Z06,2016,1G1YP3D60G5611201,Henderson,NV
87598,4213,Z06,2018,1G1YS2D60J5600585,Lakewood,CO
74590,6536,Z06,2017,1G1YS2D67H5601436,Nashville,TN
79650,7839,Z06,2016,1G1YS3D64G5612267,Finley,ND
75998,11694,Z06,2016,1G1YP2D69G5604306,Columbia,SC
80000,7355,Z06,2019,1G1YR2D60K5606058,Clarksville,MD
84998,4853,Z06,2016,1G1YU2D67G5605589,Knoxville,TN
69694,38138,Z06,2016,1G1YS2D60G5605780,Virginia Beach,VA
77990,3349,Z06,2016,1G1YP2D60G5604551,Plant City,FL
72899,21647,Z06,2015,1G1YU2D65F5605380,Portage,WI
76999,11813,Z06,2017,1G1YP2D65H5602957,Carson City,NV
27999,36531,Z06,2002,1G1YY12S225133924,Mount Vernon,OH
77250,7583,Z06,2015,1G1YU3D63F5605299,Melbourne,FL
78709,3594,Z06,2016,1G1YR3D61G5601061,Arlington Heights,IL
82551,10588,Z06,2018,1G1YS2D69J5600102,Athens,GA
79995,9400,Z06,2015,1G1YU2D66F5602777,Washington,IL
33203,9570,Z06,2001,1G1YY12S715120553,Barrington,IL
21995,77350,Z06,2001,1G1YY12S215131394,Lugoff,SC
81577,16218,Z06,2016,1G1YR2D66G5611353,Buford,GA
80998,4108,Z06,2016,1G1YR2D60G5601658,White Oak,PA
77697,9473,Z06,2017,1G1YP2D62H5604150,Mckinney,TX
25299,50207,Z06,2004,1G1YY12S345119677,Schnecksville,PA
32000,12577,Z06,2001,1G1YY12S915133207,Plymouth,MI
82990,1670,Z06,2016,1G1YR2D69G5604087,Green Brook,NJ
32999,19566,Z06,2003,1G1YY12S535118979,Greeley,CO
72999,16790,Z06,2016,1G1YN2D67G5603418,Maple Shade,NJ
32950,11690,Z06,2003,1G1YY12S335121556,Barneveld,NY
79000,11294,Z06,2016,1G1YU3D69G5606166,Schenectady,NY
86997,6081,Z06,2019,1G1YU2D64K5604005,Pelham,AL
33790,14297,Z06,2003,1G1YY12S735124699,Jacksonville,FL
34988,10608,Z06,2003,1G1YY12S335100545,Glenview,IL
83999,5439,Z06,2016,1G1YS2D64G5612330,Marlton,NJ
38500,41800,Z06,2008,1G1YY26EX85110779,Salem,OR
22510,65160,Z06,2002,1G1YY12S725130288,Sandy,UT
82500,3206,Z06,2016,1G1YU3D67G5600835,Archbold,OH
26000,49487,Z06,2002,1G1YY12S125106844,Richmond,VA
79997,10817,Z06,2016,1G1YR2D63G5605803,Sewell,NJ
32500,26538,Z06,2004,1G1YY12S245123235,Salem,OR
82495,6451,Z06,2019,1G1YS2D67K5603338,Washington,NJ
83000,2871,Z06,2016,1G1YT2D69G5612191,Carrollton,TX
78785,9025,Z06,2016,1G1YS2D62G5610964,Branford,CT
76500,17080,Z06,2016,1G1YN2D62G5611930,Tulsa,OK
72500,38328,Z06,2017,1G1YU3D63H5604950,Centerville,UT
67385,46199,Z06,2016,1G1YU3D69G5601274,Jacksonville,FL
79998,17459,Z06,2019,1G1YN2D66K5601880,Blair,NE
28500,21122,Z06,2001,1G1YY12S915131196,Lithia Springs,GA
79994,32454,Z06,2017,1G1YU2D62H5603363,Rockingham,NC
29238,29129,Z06,2004,1G1YY12S645128390,Abilene,TX
80000,6343,Z06,2016,1G1YP3D64G5612061,Plainfield,IN
80939,5389,Z06,2015,1G1YU3D65F5606468,Frisco,TX
31991,15595,Z06,2003,1G1YY12S435123462,Roswell,GA
78997,4431,Z06,2015,1G1YU2D60F5603746,Schoolcraft,MI
51200,25795,Z06,2012,1G1YJ2DE1C5110203,Dublin,OH
73772,8581,Z06,2016,1G1YP2D66G5613559,Glen Ellyn,IL
61900,8590,Z06,2013,1G1YL2DE7D5104465,Kingsville,TX
80970,5698,Z06,2016,1G1YU2D65G5602352,Indian Trail,NC
74146,15239,Z06,2015,1G1YR2D62F5601529,Virginia Beach,VA
37975,9135,Z06,2002,1G1YY12S425125131,Saint Louis Park,MN
85500,4910,Z06,2017,1G1YT2D69H5601483,Morganton,NC
88797,3263,Z06,2017,1G1YU2D66H5601745,Antioch,IL
29997,38010,Z06,2003,1G1YY12S235100102,De Witt,IA
81500,5916,Z06,2017,1G1YS2D68H5602546,Clarksville,MD
78900,6865,Z06,2016,1G1YP2D63G5604060,New Rochelle,NY
82483,3438,Z06,2016,1G1YN3D66G5611354,Arlington Heights,IL
79011,8827,Z06,2016,1G1YS2D68G5602934,Richmond,VA
