Price,Miles,Trim,Year,Vin,City,State
279900,1057,Spider,2017,ZFF80AMA0H0227570,Greensboro,NC
296900,3560,Spider,2017,ZFF80AMA2H0227568,Greensboro,NC
299000,6350,Spider,2018,ZFF80AMA1J0230175,Boca Raton,FL
332750,4120,Spider,2019,ZFF80AMA7K0237536,Houston,TX
335900,2017,Spider,2019,ZFF80AMA9K0239076,N Miami Beach,FL
289900,6436,Spider,2017,ZFF80AMA1H0220420,West Bloomfield,MI
299500,3758,Spider,2018,ZFF80AMA0J0236775,Melbourne,FL
322895,2670,Spider,2019,ZFF80AMA7K0239464,Orlando,FL
309900,5383,Spider,2018,ZFF80AMA6J0236022,Naples,FL
349900,9077,Spider,2017,ZFF80AMA8H0227820,West Bloomfield,MI
287499,13946,Spider,2017,ZFF80AMA4H0220959,Fallston,MD
298895,3963,Spider,2017,ZFF80AMA5H0221778,Great Neck,NY
299996,11942,Spider,2018,ZFF80AMA0J0237232,Charlotte,NC
294888,6327,Spider,2017,ZFF80AMA4H0220105,Boerne,TX
319996,6110,Spider,2019,ZFF80AMA8K0245662,Charlotte,NC
294900,1507,Spider,2018,ZFF80AMA4J0236293,Fort Lauderdale,FL
339851,1338,Spider,2019,ZFF80AMA3K0238005,Fresno,CA
308921,2804,Spider,2017,ZFF80AMA3H0227188,Mocksville,NC
689985,612,Spider,2020,ZFF91HMA9L0249831,Palm Harbor,FL
339900,3869,Spider,2019,ZFF80AMA4K0238479,Fort Lauderdale,FL
284000,27200,Spider,2018,ZFF80AMA6J0231516,Pompano Beach,FL
347995,596,Spider,2018,ZFF80AMA4J0231529,Wilsonville,OR
329995,6506,Spider,2019,ZFF80AMA3K0239073,Bonita Springs,FL
314900,4370,Spider,2018,ZFF80AMA5J0236075,Brighton,MA
341687,1920,Spider,2019,ZFF80AMA3K0245486,Ft Mitchell,KY
599895,1918,Spider,2019,ZFF91HMA6K0246576,Orlando,FL
339995,3801,Spider,2019,ZFF80AMA2K0239324,Bonita Springs,FL
349000,4600,Spider,2019,ZFF80AMA2K0237945,Pompano Beach,FL
329000,3826,Spider,2018,ZFF80AMA7J0233551,Pompano Beach,FL
339895,1527,Spider,2019,ZFF80AMA4K0238384,Paramus,NJ
299900,560,Spider,2016,ZFF80AMA1G0219265,Greensboro,NC
329000,7970,Spider,2017,ZFF80AMA1H0228369,Stafford,VA
332900,2549,Spider,2019,ZFF80AMA6K0243117,Fort Lauderdale,FL
319900,1800,Spider,2018,ZFF80AMA1J0234498,Westmont,IL
299800,2704,Spider,2016,ZFF80AMA4G0217333,N/A,N/A
319000,466,Spider,2019,ZFF80AMA2K0241266,N/A,N/A
279000,9086,Spider,2016,ZFF80AMA7G0217858,N/A,N/A
295000,11262,Spider,2018,ZFF80AMA8J0229105,N/A,N/A
304900,9320,Spider,2017,ZFF80AMA4H0224896,N/A,N/A
299000,9003,Spider,2018,ZFF80AMA4J0232986,N/A,N/A
339995,3604,Spider,2019,ZFF80AMA1K0237970,N/A,N/A
316395,4087,Spider,2018,ZFF80AMAXJ0233348,N/A,N/A
289995,7625,Spider,2017,ZFF80AMA8H0224934,N/A,N/A
309991,4926,Spider,2018,ZFF80AMA6J0230155,N/A,N/A
299900,19455,Spider,2017,ZFF80AMA8H0222603,N/A,N/A
269000,7086,GTB,2018,ZFF79ALA6J0231860,Addison,TX
269900,7225,GTB,2019,ZFF79ALA0K0243861,Fort Lauderdale,FL
274900,5918,GTB,2018,ZFF79ALA4J0228729,Fort Lauderdale,FL
269950,2936,GTB,2018,ZFF79ALA4J0229704,Miami,FL
280000,1031,GTB,2018,ZFF79ALA1J0235850,Madera,CA
269000,12600,GTB,2019,ZFF79ALA7K0237944,Pompano Beach,FL
248412,8117,GTB,2017,ZFF79ALA8H0220224,Spring,TX
199998,55872,GTB,2016,ZFF79ALAXG0218196,Lauderdale Lakes,FL
288888,2926,GTB,2018,ZFF79ALA0J0232616,San Diego,CA
289950,1015,GTB,2018,ZFF79ALA5J0234460,Miami,FL
299999,1653,GTB,2019,ZFF79ALA3K0239500,Dallas,TX
279900,2390,GTB,2017,ZFF79ALA2H0226973,West Palm Beach,FL
239988,20688,GTB,2016,ZFF79ALA8G0214809,Phoenix,AZ
239994,14888,GTB,2016,ZFF79ALAXG0213807,Pinellas Park,FL
259888,4967,GTB,2017,ZFF79ALA8H0226184,Boerne,TX
245000,10367,GTB,2016,ZFF79ALA1G0219429,Scottsdale,AZ
249900,17929,GTB,2016,ZFF79ALA8G0215488,West Palm Beach,FL
269996,18001,GTB,2018,ZFF79ALA7J0229390,Charlotte,NC
449500,500,GTB,2019,ZFF79ALA7K0248037,Murfreesboro,TN
299820,4500,GTB,2017,ZFF79ALA6H0222652,West Palm Beach,FL
264888,3222,GTB,2017,ZFF79ALA4H0226974,Boerne,TX
245000,1640,GTB,2016,ZFF79ALA6G0218163,HOUSTON,TX
265000,8450,GTB,2016,ZFF79ALA6G0219121,Barrington,IL
264900,6941,GTB,2016,ZFF79ALA9G0214978,Fort Lauderdale,FL
274996,16277,GTB,2018,ZFF79ALA2J0231872,Charlotte,NC
299950,4479,GTB,2019,ZFF79ALA2K0244235,Miami,FL
269999,6600,GTB,2016,ZFF79ALA4G0214631,Richardson,TX
299999,4500,GTB,2017,ZFF79ALA8H0224015,Long Island City,NY
269991,6542,GTB,2018,ZFF79ALA1J0236819,N/A,N/A
259800,7140,GTB,2017,ZFF79ALA3H0220390,N/A,N/A
262991,11019,GTB,2018,ZFF79ALA7J0233343,N/A,N/A
289900,3068,GTB,2018,ZFF79ALA3J0232965,N/A,N/A
279995,6457,GTB,2018,ZFF79ALA4J0235115,N/A,N/A
259900,4920,GTB,2016,ZFF79ALA6G0218194,N/A,N/A
264990,3888,GTB,2017,ZFF79ALA2H0226553,N/A,N/A
274991,2926,GTB,2017,ZFF79ALA6H0227351,N/A,N/A
269990,8299,GTB,2016,ZFF79ALA4G0218386,N/A,N/A
305900,272,GTB,2019,ZFF79ALA6K0245436,N/A,N/A
275990,6232,GTB,2018,ZFF79ALA9J0232226,N/A,N/A
459900,1423,Pista,2020,ZFF90HLA2L0250999,Greensboro,NC
462900,3805,Pista,2019,ZFF90HLA2K0247776,Coral Gables,FL
473900,2553,Pista,2020,ZFF90HLA5L0251094,Addison,TX
449950,2313,Pista,2019,ZFF90HLA2K0241895,Bellevue,WA
479900,650,Pista,2019,ZFF90HLAXK0246391,Addison,TX
627713,479,Pista,2019,ZFF90HLA7K0247434,Greensboro,NC
534900,676,Pista,2020,ZFF90HLA4L0248316,Addison,TX
474900,2347,Pista,2020,ZFF90HLA2L0249593,Brighton,MA
475991,1471,Pista,2019,ZFF90HLA7K0247269,N/A,N/A
649990,1081,Pista,2019,ZFF91HMA2K0244887,N/A,N/A
484900,1836,Pista,2020,ZFF90HLA0L0249527,N/A,N/A
475991,544,Pista,2019,ZFF90HLA0K0241863,N/A,N/A
469991,935,Pista,2019,ZFF90HLA4K0240697,N/A,N/A
