Price,Miles,Trim,Year,Vin,City,State
93495,1988,Shelby-GT500,2020,1FA6P8SJXL5502179,Ukiah,CA
31988,45544,Shelby-GT500,2008,1ZVHT88S885144146,Bryan,TX
35998,26098,Shelby-GT500,2008,1ZVHT89S485135281,New Lexington,OH
89998,3953,Shelby-GT500,2020,1FA6P8SJ1L5504712,Colorado Springs,CO
95990,2361,Shelby-GT500,2020,1FA6P8SJ5L5502848,Daly City,CA
92368,1988,Shelby-GT500,2020,1FA6P8SJ8L5505274,Ft Mitchell,KY
94995,3473,Shelby-GT500,2020,1FA6P8SJ6L5500610,Butler,NJ
97999,1248,Shelby-GT500,2020,1FA6P8SJ3L5501102,Marlton,NJ
32750,36644,Shelby-GT500,2008,1ZVHT88S185172791,Washougal,WA
36440,12099,Shelby-GT500,2008,1ZVHT88S085172877,Statesville,NC
95572,6004,Shelby-GT500,2020,1FA6P8SJ0L5502854,Bradenton,FL
99000,1795,Shelby-GT500,2020,1FA6P8SJ9L5504411,Fort Lauderdale,FL
38999,22106,Shelby-GT500,2010,1ZVBP8JS4A5169037,Plano,TX
89998,704,Shelby-GT500,2020,1FA6P8SJ4L5503988,El Paso,TX
27990,67563,Shelby-GT500,2007,1ZVHT88SX75343357,Slidell,LA
93778,975,Shelby-GT500,2020,1FA6P8SJ4L5503182,Pasadena,MD
95220,1668,Shelby-GT500,2020,1FA6P8SJ1L5502121,Boca Raton,FL
89900,602,Shelby-GT500,2020,1FA6P8SJ6L5501918,Byron,GA
89989,6680,Shelby-GT500,2020,1FA6P8SJ7L5499984,Huntley,IL
101206,771,Shelby-GT500,2020,1FA6P8SJ9L5505736,Groveport,OH
96334,1389,Shelby-GT500,2020,1FA6P8SJ6L5505158,San Antonio,TX
47798,59308,Shelby-GT500,2013,1ZVBP8JZ5D5249819,Fargo,ND
40000,12681,Shelby-GT500,2009,1ZVHT88S395133458,Kalamazoo,MI
91989,4079,Shelby-GT500,2020,1FA6P8SJ9L5503629,New Port Richey,FL
103995,913,Shelby-GT500,2020,1FA6P8SJ1L5504807,Naples,FL
43990,12170,Shelby-GT500,2007,1ZVHT88S375219639,Rockville,MD
34922,14952,Shelby-GT500,2008,1ZVHT88S985168746,Peoria,AZ
99500,5975,Shelby-GT500,2020,1FA6P8SJ1L5500045,Akron,OH
37880,32785,Shelby-GT500,2007,1ZVHT88S775358477,Kent,WA
35995,24089,Shelby-GT500,2008,1ZVHT88S685161379,Houston,TX
103000,3929,Shelby-GT500,2020,1FA6P8SJ0L5500036,Minerva,OH
97777,2300,Shelby-GT500,2020,1FA6P8SJ7L5505752,Lake City,FL
99888,2455,Shelby-GT500,2020,1FA6P8SJ8L5505839,Buford,GA
97990,8439,Shelby-GT500,2020,1FA6P8SJ5L5501649,Malvern,AR
47998,53098,Shelby-GT500,2014,1ZVBP8JZXE5216591,Medford,OR
37981,25350,Shelby-GT500,2008,1ZVHT88S985164454,Palatka,FL
42995,2810,Shelby-GT500,2009,1ZVHT88S595136958,New Castle,DE
39799,7161,Shelby-GT500,2008,1ZVHT88SX85122505,VALDESE,NC
99876,1461,Shelby-GT500,2020,1FA6P8SJ0L5505365,Ft Mitchell,KY
40999,1665,Shelby-GT500,2007,1ZVHT88S675359779,Tampa,FL
40985,6703,Shelby-GT500,2007,1ZVHT88S275248663,Gurnee,IL
38998,12610,Shelby-GT500,2008,1ZVHT88S485123388,Denver,CO
58489,3115,Shelby-GT500,2014,1ZVBP8JZXE5265726,Belvidere,IL
41000,1102,Shelby-GT500,2007,1ZVHT88S575303526,RANDOLPH,OH
49999,24530,Shelby-GT500,2013,1ZVBP8JZ4D5248936,Apple Valley,MN
37999,31858,Shelby-GT500,2009,1ZVHT88S895144200,Shakopee,MN
39987,3100,Shelby-GT500,2007,1ZVHT88S275303922,Monroe,MI
25995,101928,Shelby-GT500,2007,1ZVHT88S175286126,Turlock,CA
42900,4268,Shelby-GT500,2007,1ZVHT88S975267663,Canandaigua,NY
102995,872,Shelby-GT500,2020,1FA6P8SJ9L5503453,Brooksville,FL
102995,872,Shelby-GT500,2020,1FA6P8SJ9L5503453,Brooksville,FL
96875,594,Shelby-GT500,2020,1FA6P8SJ1L5505150,Daytona Beach,FL
39995,14939,Shelby-GT500,2007,1ZVHT88S375308661,Greenfield,IN
53900,9810,Shelby-GT500,2014,1ZVBP8JZ2E5237645,Jacksonville,FL
