Price,Miles,Trim,Year,Vin,City,State
204908,8056,LP610,2015,ZHWUC1ZF1FLA01021,Sarasota,FL
187212,39439,LP610,2015,ZHWUC1ZF7FLA00553,Cayce,SC
246980,6990,LP610,2017,ZHWUR1ZF6HLA05633,Springfield,NE
211370,6253,LP610,2015,ZHWUC1ZF1FLA03366,Davie,FL
229950,9737,LP610,2016,ZHWUR1ZF5GLA04553,Miami,FL
189898,28269,LP610,2015,ZHWUC1ZF3FLA00775,Austin,TX
206999,11828,LP610,2015,ZHWUC1ZF9FLA02580,Orlando,FL
225000,14544,LP610,2016,ZHWUC1ZFXGLA03920,Ramsey,NJ
249000,4115,LP610,2017,ZHWUR1ZF4HLA07705,Pompano Beach,FL
224951,7325,LP610,2015,ZHWUC1ZF7FLA03131,West Palm Beach,FL
269900,10309,LP610,2017,ZHWUR1ZF9HLA05836,Beverly Hills,CA
215000,15897,LP610,2015,ZHWUC1ZF7FLA00665,Canton,OH
239900,12684,LP610,2015,ZHWUC1ZF1FLA01195,Greenwich,CT
220000,18166,LP610,2015,ZHWUC1ZF2FLA01643,Wallingford,CT
224000,12200,LP610,2016,ZHWUC1ZF6GLA04241,Ontario,CA
219799,11672,LP610,2016,ZHWUC1ZF0GLA04218,Streetsboro,OH
259995,6347,LP610,2016,ZHWUR1ZF8GLA05244,Bonita Springs,FL
294999,8028,LP610,2017,ZHWUR1ZF7HLA06175,N Miami Beach,FL
223888,8717,LP610,2015,ZHWUC1ZF9FLA01865,Boerne,TX
209995,13781,LP610,2015,ZHWUC1ZF7FLA02948,Addison,TX
209888,25031,LP610,2015,ZHWUC1ZF1FLA01682,Boerne,TX
229998,56466,LP610,2016,ZHWUR1ZF9GLA04958,Lauderdale Lakes,FL
279000,4800,LP610,2017,ZHWUR1ZF9HLA05979,Plano,TX
239950,6910,LP610,2016,ZHWUC1ZF3GLA03757,Fort Lauderdale,FL
204900,14300,LP610,2015,ZHWCC1ZF3FLA01436,Rahway,NJ
224979,12758,LP610,2015,ZHWUC1ZF5FLA03449,Marietta,GA
219950,6602,LP610,2015,ZHWUC1ZF3FLA03420,Miami,FL
212500,24040,LP610,2015,ZHWUC1ZF7FLA01119,Canton,OH
209900,32502,LP610,2015,ZHWUC1ZF9FLA02806,Evansville,IN
259777,10893,LP610,2017,ZHWUR1ZF4HLA06053,Boerne,TX
249996,8540,LP610,2016,ZHWUC1ZF9GLA04119,Charlotte,NC
229997,4273,LP610,2015,ZHWUC1ZF5FLA02463,Charlotte,NC
240000,9987,LP610,2015,ZHWUC1ZFXFLA02006,Great Neck,NY
214995,18222,LP610,2015,ZHWUC1ZF6FLA01502,Fairfax,VA
219998,42468,LP610,2015,ZHWUC1ZF7FLA00682,Lauderdale Lakes,FL
239996,21020,LP610,2016,ZHWUR1ZF7GLA04134,Charlotte,NC
232500,5038,LP610,2015,ZHWUC1ZF1FLA00872,Dublin,OH
209998,35269,LP610,2015,ZHWUC1ZF1FLA00886,Lauderdale Lakes,FL
209998,61407,LP610,2015,ZHWUC1ZF1FLA02895,Lauderdale Lakes,FL
219888,10568,LP610,2015,ZHWUC1ZF6FLA02908,Boerne,TX
206950,8722,LP610,2015,ZHWUC1ZF8FLA02442,N/A,N/A
249990,17885,LP610,2015,ZHWUC1ZF6FLA00706,N/A,N/A
209533,8523,LP580,2018,ZHWUC2ZF6JLA10084,Elyria,OH
210431,3879,LP580,2016,ZHWUC2ZF8GLA04361,Los Gatos,CA
219995,4844,LP580,2018,ZHWUC2ZFXJLA10718,Paramus,NJ
235900,2325,LP580,2018,ZHWUC2ZFXJLA10380,Addison,TX
217000,13950,LP580,2016,ZHWUC2ZF6GLA04570,Torrington,CT
207634,12000,LP580,2018,ZHWUC2ZF9JLA10774,Corona,CA
219900,8500,LP580,2017,ZHWUC2ZF2HLA06169,Springfield,MO
259990,7780,LP580,2019,ZHWUC2ZF5KLA11535,Dallas,TX
232490,5336,LP580,2019,ZHWUC2ZF2KLA12447,Quincy,MA
215999,15582,LP580,2018,ZHWUC2ZF7JLA08604,Saint Clair Shores,MI
258000,3990,LP580,2018,ZHWUC2ZF5JLA10402,Quincy,MA
219951,9872,LP580,2017,ZHWUC2ZF6HLA05929,West Palm Beach,FL
234713,27815,LP580,2019,ZHWUR2ZF5KLA11680,Buford,GA
205000,22281,LP580,2016,ZHWUC2ZF4GLA04633,Canton,OH
294998,21294,LP580,2017,ZHWUR2ZF1HLA05903,Brooklyn,NY
239500,14974,LP580,2019,ZHWUR2ZF6KLA11428,Atlanta,GA
219888,5235,LP580,2017,ZHWUC2ZF6HLA06949,Dublin,CA
199990,32212,LP580,2017,ZHWUC2ZF6HLA06188,Lowell,MA
226995,4148,LP580,2019,ZHWUC2ZF0KLA11846,Edmond,OK
219996,30494,LP580,2016,ZHWUC2ZF5GLA04785,Charlotte,NC
224996,12894,LP580,2017,ZHWUC2ZF4HLA08103,Charlotte,NC
259990,8278,LP580,2019,ZHWUC2ZF8KLA11237,Dallas,TX
219996,18134,LP580,2016,ZHWCC2ZF8GLA05005,Charlotte,NC
233895,7891,LP580,2017,ZHWUC2ZF2HLA05880,Las Vegas,NV
214800,16681,LP580,2017,ZHWUC2ZF7HLA06135,Las Vegas,NV
213000,8840,LP580,2019,ZHWUC2ZF6KLA11351,N/A,N/A
199000,4547,LP580,2018,ZHWUC2ZF3JLA10396,N/A,N/A
299900,16000,Performante,2018,ZHWUD4ZF4JLA08990,Addison,TX
312461,6091,Performante,2019,ZHWUD4ZF8KLA11599,Los Gatos,CA
325000,3100,Performante,2019,ZHWUS4ZF2KLA11541,Las Vegas,NV
292900,16856,Performante,2018,ZHWUS4ZF4JLA10289,Addison,TX
320000,6727,Performante,2018,ZHWUD4ZFXJLA11103,Hamburg,PA
339000,2919,Performante,2018,ZHWUS4ZFXJLA11172,Pompano Beach,FL
309990,10248,Performante,2018,ZHWUD4ZF8JLA09415,Orlando,FL
339951,973,Performante,2018,ZHWUD4ZF3JLA10651,West Palm Beach,FL
354951,8031,Performante,2019,ZHWUS4ZFXKLA12632,West Palm Beach,FL
330489,1515,Performante,2018,ZHWUD4ZF4JLA10660,Sterling,VA
324888,2959,Performante,2018,ZHWUD4ZF3JLA08379,Boerne,TX
339989,2160,Performante,2018,ZHWUD4ZF9JLA09939,Barrington,IL
329996,9768,Performante,2018,ZHWCD4ZF5JLA08766,Charlotte,NC
328996,13192,Performante,2018,ZHWCD4ZF9JLA10276,Charlotte,NC
328996,14367,Performante,2018,ZHWCD4ZF3JLA09916,Charlotte,NC
318555,9154,Performante,2018,ZHWUD4ZF0JLA09215,Des Plaines,IL
354996,4443,Performante,2019,ZHWCD4ZF5KLA12365,Charlotte,NC
304900,22415,Performante,2018,ZHWUS4ZF4JLA11099,Brighton,MA
326000,11554,Performante,2018,ZHWUD4ZF4JLA09041,JACKSONVILLE,FL
332996,11930,Performante,2018,ZHWCD4ZF7JLA08493,Charlotte,NC
344996,5434,Performante,2018,ZHWCD4ZF2JLA09261,Charlotte,NC
329900,1815,Performante,2018,ZHWUD4ZFXJLA09271,N/A,N/A
314991,1160,Unspecified,2020,ZHWUT4ZF7LLA13316,San Rafael,CA
299877,7018,Unspecified,2020,ZHWUT4ZF2LLA12820,Downers Grove,IL
279950,11267,Unspecified,2020,ZHWUF4ZF3LLA13272,Fort Lauderdale,FL
304070,7973,Unspecified,2020,ZHWUT4ZFXLLA12760,Sarasota,FL
309995,792,Unspecified,2020,ZHWUT4ZF3LLA14141,Bonita Springs,FL
259995,30200,Unspecified,2020,ZHWUF4ZF3LLA13031,Houston,TX
305000,3895,Unspecified,2020,ZHWUT4ZF9LLA13415,Centerville,UT
309999,1368,Unspecified,2020,ZHWUF4ZF6LLA13993,Charlotte,NC
299888,1090,Unspecified,2020,ZHWUT5ZF2LLA15108,San Diego,CA
299898,7245,Unspecified,2020,ZHWUF4ZF8LLA12697,Barrington,IL
289999,1255,Unspecified,2020,ZHWUT5ZF6LLA15564,Greensboro,NC
269995,724,Unspecified,2021,ZHWUF5ZF4MLA16561,Bonita Springs,FL
299895,4376,Unspecified,2020,ZHWUF5ZFXLLA15154,Des Plaines,IL
279951,2776,Unspecified,2020,ZHWUT5ZF5LLA15250,West Palm Beach,FL
269000,1007,Unspecified,2021,ZHWUF5ZF5MLA17072,Pompano Beach,FL
282900,1850,Unspecified,2020,ZHWUF5ZF5LLA14459,Addison,TX
279000,1264,Unspecified,2021,ZHWUF5ZF3MLA15840,Pompano Beach,FL
309000,6686,Unspecified,2020,ZHWUF4ZF5LLA12740,Pompano Beach,FL
314996,1682,Unspecified,2020,ZHWUF4ZF5LLA13676,Charlotte,NC
299977,3220,Unspecified,2020,ZHWUF4ZF8LLA13591,Charlotte,NC
294900,4886,Unspecified,2020,ZHWUF4ZF6LLA13069,Brighton,MA
259995,12176,Unspecified,2020,ZHWUF5ZF0LLA15177,Lititz,PA
297787,3016,Unspecified,2020,ZHWUT5ZF7LLA15122,Charlotte,NC
309000,7218,Unspecified,2020,ZHWUF4ZF0LLA13245,Pompano Beach,FL
298895,6515,Unspecified,2020,ZHWUF4ZF7LLA13789,Great Neck,NY
