Price,Miles,Trim,Year,Vin,City,State
76900,25372,500,2018,JTHHP5AY5JA001414,Roseville,CA
78896,13527,500,2018,JTHHP5AY5JA004829,El Cajon,CA
88750,3367,500,2020,JTHBP5AY2LA007566,Seaside,CA
74372,36571,500,2018,JTHHP5AY1JA001118,SACRAMENTO,CA
78900,13797,500,2018,JTHHP5AY8JA005778,Longwood,FL
74999,28015,500,2018,JTHHP5AY1JA003273,Dublin,OH
73995,21998,500,2018,JTHHP5AY2JA002990,Hollywood,FL
73990,37024,500,2018,JTHHP5AY7JA000653,Clarksville,AR
77000,13218,500,2018,JTHHP5AY8JA005702,Cerritos,CA
80744,9824,500,2018,JTHHP5AY5JA000425,Salisbury,MD
94220,4643,500,2021,JTHEP5AY8MA008221,Boca Raton,FL
72998,29135,500,2018,JTHHP5AY0JA001644,Houston,TX
79996,11104,500,2018,JTHHP5AY1JA001376,Dallas,TX
71900,24376,500,2018,JTHHP5AYXJA003238,Summit,NJ
80991,10445,500,2018,JTHHP5AY3JA001475,Seaside,CA
79990,13320,500,2018,JTHHP5AY6JA005858,Atlanta,GA
76998,12529,500,2018,JTHHP5AY1JA004973,Columbia,SC
79995,11908,500,2018,JTHHP5AY1JA000809,Greenwood Village,CO
97500,4225,500,2021,JTHEP5AY6MA008248,FORT WORTH,TX
77888,7445,500,2018,JTHHP5AY0JA005628,Colma,CA
73988,32962,500,2018,JTHHP5AY8JA000953,FREMONT,CA
74900,14259,500,2018,JTHHP5AY5JA003101,Rahway,NJ
76400,34001,500,2018,JTHHP5AY3JA003694,Westminster,CA
83591,11643,500,2018,JTHHP5AY2JA001693,Carrollton,TX
91900,2838,500,2020,JTHAP5AY9LA007740,Dayton,OH
73391,36907,500,2018,JTHHP5AY6JA001227,Spring,TX
75998,12328,500,2018,JTHHP5AY6JA002751,West Palm Beach,FL
94995,5068,500,2020,JTHAP5AY6LA008084,North Chesterfield,VA
64985,62270,500,2018,JTHHP5AY6JA001003,San Juan Capistrano,CA
77081,11540,500,2018,JTHHP5AY3JA001394,Rockwall,TX
79990,12554,500,2018,JTHHP5AY7JA000331,Dallas,TX
81495,11858,500,2018,JTHHP5AY6JA002104,Arlington Heights,IL
101991,1078,500,2021,JTHBP5AY7MA102125,Louisville,KY
82995,13995,500,2019,JTHHP5AY4KA006864,Van Nuys,CA
73500,11866,500,2018,JTHHP5AYXJA000954,Grand Rapids,MI
76900,26678,500,2018,JTHHP5AY6JA005214,Wayzata,MN
81779,26469,500,2018,JTHHP5AY4JA000609,El Cajon,CA
89999,4396,500,2020,JTHBP5AY9LA007810,Seaside,CA
