Price,Miles,Trim,Year,Vin,City,State
265000,14054,Performance,2018,SBM14DCA4JW001792,Ramsey,
284450,2831,Performance,2019,SBM14DCA0KW002438,West Chester,
339900,6925,Performance,2020,SBM14FCA0LW005336,Addison,
264816,6279,Performance,2018,SBM14DCA0JW000753,San Diego,
339995,4272,Performance,2020,SBM14FCA4LW005453,Charlotte,
284900,8365,Performance,2019,SBM14DCA6KW003240,Brighton,
339875,4763,Performance,2020,SBM14FCA3LW004522,Charlotte,
269900,5079,Performance,2018,SBM14DCA3JW001833,Coral Gables,
271511,4564,Performance,2018,SBM14DCAXJW000968,Sarasota,
329900,4835,Performance,2020,SBM14FCA0LW005224,Addison,
274900,5027,Performance,2019,SBM14DCA2KW002439,Addison,
340000,3758,Performance,2020,SBM14FCA9LW005450,Chicago,
334800,11385,Performance,2020,SBM14FCA7LW004085,Las Vegas,
279989,1998,Performance,2018,SBM14DCA4JW002134,Barrington,
269777,7298,Performance,2018,SBM14DCA5JW001283,Stafford,
356000,743,Performance,2020,SBM14FCA2LW004222,Ramsey,
330995,6235,Performance,2018,SBM14DCA9JW000671,Schnecksville,
264996,11999,Performance,2018,SBM14DCAXJW000193,Charlotte,
279996,14850,Performance,2019,SBM14DCA0KW002388,Charlotte,
279996,10787,Performance,2018,SBM14DCA1JW001183,Charlotte,
284900,9119,Performance,2019,SBM14DCA6KW002914,Brighton,
289996,4696,Performance,2019,SBM14DCA7KW003456,Charlotte,
339996,3024,Performance,2020,SBM14FCA5LW003761,Charlotte,
280000,2740,Performance,2018,SBM14DCA1JW000356,Chicago,
309996,2600,Performance,2020,SBM14DCA0LW005325,Charlotte,
329996,1247,Performance,2020,SBM14DCA6LW005409,Charlotte,
379900,750,Performance,2020,SBM14FCA4LW004464,Addison,
349977,4896,Performance,2020,SBM14FCA2LW004169,Charlotte,
299996,2728,Performance,2019,SBM14DCA3KW003017,Charlotte,
299888,7800,Performance,2019,SBM14DCA5KW003410,Boerne,
329996,13994,Performance,2019,SBM14DCA7KW002761,Charlotte,
299996,7544,Performance,2019,SBM14DCA1KW002562,Charlotte,
274900,2636,Performance,2018,SBM14DCA9JW002033,N/A,N/A
259990,15052,Performance,2018,SBM14DCA8JW002315,N/A,N/A
249998,6668,Luxury,2018,SBM14DCA2JW000544,Lauderdale Lakes,
259988,6975,Luxury,2018,SBM14DCA9JW000573,Pennington,
269990,5749,Luxury,2018,SBM14DCA3JW000780,West Palm Beach,
272900,8336,Luxury,2019,SBM14DCA9KW002924,Los Angeles,
309000,2981,Luxury,2019,SBM14DCA9KW003412,Pompano Beach,
328888,8414,Luxury,2019,SBM14FCA4KW003510,N/A,N/A
317699,8885,Unspecified,2019,SBM14FCA6KW003704,Pinellas Park,
264980,6141,Unspecified,2018,SBM14DCA2JW002214,Pinellas Park,
279995,3655,Unspecified,2019,SBM14DCA0KW003105,West Chester,
254000,6261,Unspecified,2018,SBM14DCA7JW000314,Sterling,
339950,1549,Unspecified,2020,SBM14FCA2LW004043,Miami,
339899,5477,Unspecified,2020,SBM14FCA7LW004216,Deerfield Beach,
244850,14088,Unspecified,2018,SBM14DCA2JW000124,Fishers,
359997,2169,Unspecified,2020,SBM14FCA9LW004346,Pinellas Park,
249777,8080,Unspecified,2018,SBM14DCA2JW000169,Addison,
338500,3037,Unspecified,2020,SBM14FCA9LW004265,Atlanta,
239991,9540,Unspecified,2018,SBM14DCA9JW000170,Palo Alto,
349995,1464,Unspecified,2020,SBM14FCA5LW005476,Naples,
327777,2110,Unspecified,2020,SBM14FCA6LW003994,Boerne,
284995,3856,Unspecified,2019,SBM14DCA9KW002762,Naples,
369888,1034,Unspecified,2020,SBM14FCA9LW004590,Roslyn,
349000,1602,Unspecified,2020,SBM14FCA4LW004285,Pompano Beach,
339991,680,Unspecified,2020,SBM14FCA2LW004219,Sterling,
339994,2694,Unspecified,2020,SBM14FCA4LW003993,Pinellas Park,
349000,1237,Unspecified,2020,SBM14FCA3LW004455,Pompano Beach,
319996,2683,Unspecified,2020,SBM14DCA6LW005586,Charlotte,
339991,6090,Unspecified,2020,SBM14FCA7LW003860,Palo Alto,
346728,1149,Unspecified,2020,SBM14FCA4LW004058,Sterling,
379999,647,Unspecified,2020,SBM14FCA6LW004577,Saint Clair Shores,
339991,9655,Unspecified,2020,SBM14FCAXLW003853,Palo Alto,
294668,1324,Unspecified,2018,SBM14DCA5JW002367,Bowling Green,
270000,3569,Unspecified,2018,SBM14DCA9JW001142,Addison,
259900,5749,Unspecified,2018,SBM14DCA6JW002216,N/A,N/A
319000,2491,Unspecified,2019,SBM14FCA8KW003736,N/A,N/A
259995,8709,Unspecified,2018,SBM14DCA1JW000390,N/A,N/A
259995,4506,Unspecified,2019,SBM14DCA8KW003420,N/A,N/A
