Price,Miles,Trim,Year,Vin,City,State
34995,69069,Performance,2012,5YJSA1DP9CFP02732,Cookeville,
86998,13765,Performance,2019,5YJSA1E48KF312188,South Jordan,
31590,82118,Performance,2012,5YJSA1DP6CFP03031,Tucson,
36995,45892,Performance,2013,5YJSA1CP1DFP21424,Glendale,
33300,69968,Performance,2013,5YJSA1CP6DFP25596,Fredericksburg,
29950,69498,Performance,2012,5YJSA1DP4CFP03187,Norco,
88740,5756,Performance,2020,5YJSA1E44LF364385,Montclair,
38990,42310,Performance,2013,5YJSA1CP1DFP26803,Costa Mesa,
31995,85504,Performance,2013,5YJSA1DP6DFP18033,Lindon,
38988,9578,Performance,2013,5YJSA1CP3DFP07119,Seattle,
32800,91392,Performance,2013,5YJSA1CPXDFP09224,Midway City,
33990,65928,Performance,2013,5YJSA1CP9DFP21428,Duluth,
35500,48451,Performance,2013,5YJSA1DP8DFP05638,Fredericksburg,
34995,70737,Performance,2013,5YJSA1DPXDFP19606,Surprise,
28985,72613,Performance,2013,5YJSA1DP3DFP06258,Downers Grove,
37500,39347,Performance,2013,5YJSA1DP8DFP27560,Davie,
36990,67551,Performance,2013,5YJSA1DP8DFP17806,Addison,
30947,87211,Performance,2013,5YJSA1DP9DFP17717,Dallas,
37500,45516,Performance,2013,5YJSA1DP5DFP04642,Mckinney,
32995,73218,Performance,2013,5YJSA1DP6DFP12734,Stafford,
31600,82238,Performance,2013,5YJSA1DP0DFP26693,Sacramento,
34980,53876,Performance,2013,5YJSA1CP5DFP21586,Burbank,
34995,83131,Performance,2013,5YJSA1CP0DFP08583,Hayward,
33997,93253,Performance,2013,5YJSA1CP4DFP19781,Temecula,
30988,123907,Performance,2013,5YJSA1DG9DFP03848,Austin,
31991,58567,Performance,2013,5YJSA1DG0DFP07593,Houston,
36999,60229,Performance,2013,5YJSA1DP5DFP13616,Roswell,
96499,14534,Performance,2019,5YJSA1E43KF307531,Orlando,
110467,18675,Performance,2019,5YJSA1E46KF332777,Lubbock,
34999,80489,Performance,2013,5YJSA1CP7DFP27759,Roswell,
36880,42570,Performance,2013,5YJSA1DP7DFP05629,Houston,
29777,104155,Performance,2013,5YJSA1CP7DFP17331,Stafford,
29990,88200,Performance,2013,5YJSA1DN7DFP04527,Fort Myers,
92000,23782,Performance,2019,5YJSA1E48KF331291,Minneapolis,
99900,14783,Performance,2020,5YJSA1E47LF415653,Lincoln,
30500,85802,Performance,2013,5YJSA1DP7DFP05890,Orem,
36990,108593,Performance,2013,5YJSA1CP3DFP19660,Kirkland,
93888,13086,Performance,2020,5YJSA1E44LF364189,Houston,
99900,11415,Performance,2020,5YJSA1E40LF365405,Lincoln,
94699,12604,Performance,2019,5YJSA1E44KF337301,Columbus,
27999,105027,Performance,2012,5YJSA1DP4CFP03139,Maple Shade,
41990,13236,Performance,2013,5YJSA1DP3DFP20760,Raleigh,
99989,10131,Performance,2020,5YJSA1E4XLF414965,Carrollton,
28999,68563,Performance,2013,5YJSA1DN5DFP08849,Maple Shade,
102900,11528,Performance,2020,5YJSA1E43LF360070,Lincoln,
32500,86798,Performance,2013,5YJSA1DP2DFP04632,Cary,
36499,65499,Performance,2013,5YJSA1CP4DFP13026,Norco,
33900,64815,Performance,2013,5YJSA1DP4DFP28012,Fredericksburg,
34590,50833,Performance,2013,5YJSA1CN1DFP09756,Miami,
91991,7551,Performance,2020,5YJSA1E41LF413784,Alexandria,
86983,2249,Performance,2020,5YJSA1E45LF415568,Plano,
39995,54512,Performance,2013,5YJSA1DP0DFP14124,N/A,N/A
66996,20430,100D,2018,5YJSA1E21JF249447,Carrollton,
62596,19972,100D,2017,5YJSA1E20HF217048,Dallas,
56950,56867,100D,2017,5YJSA1E22HF204303,Amarillo,
56999,43268,100D,2017,5YJSA1E28HF199432,Newark,
65999,15858,100D,2018,5YJSA1E22JF247089,Newark,
60989,35527,100D,2017,5YJSA1E25HF229017,Carrollton,
55999,72150,100D,2017,5YJSA1E27HF215345,Salt Lake City,
61997,27068,100D,2017,5YJSA1E2XHF217249,WOODBRIDGE,
64995,22100,100D,2018,5YJSA1E20JF300078,Vacaville,
49500,80972,100D,2017,5YJSA1E24HF208207,Union City,
60989,38930,100D,2017,5YJSA1E29HF220935,Carrollton,
