Price,Miles,Trim,Year,Vin,City,State
56988,24658,Unspecified,2019,WBS2U7C54K7D13720,Georgetown,TX
60700,15392,Unspecified,2020,WBS2U7C06L7E66332,Palm Harbor,FL
64991,3364,Unspecified,2020,WBS2U7C09L7E48407,Albuquerque,NM
59900,11730,Unspecified,2019,WBS2U7C52K7D11674,Atlanta,GA
54718,35301,Unspecified,2019,WBS2U7C5XK7D16847,Cape Coral,FL
62500,5271,Unspecified,2020,WBS2U7C00L7E66522,Fairfax,VA
60900,15455,Unspecified,2020,WBS2U7C09L7E66597,Tulsa,OK
62723,13974,Unspecified,2020,WBS2U7C07L7E10576,Coconut Creek,FL
64999,9982,Unspecified,2020,WBS2U7C09L7E74263,San Diego,CA
62574,10001,Unspecified,2019,WBS2U7C56KVB09299,Pompano Beach,FL
63000,6253,Unspecified,2020,WBS2U7C03L7D69766,Scottsdale,AZ
60998,2745,Unspecified,2019,WBS2U7C51K7D43189,Beaumont,TX
62995,14366,Unspecified,2019,WBS2U7C57K7D14697,Lake Bluff,IL
63990,5466,Unspecified,2020,WBS2U7C05L7E36884,Cincinnati,OH
62990,3831,Unspecified,2019,WBS2U7C50K7D13519,Beverly,NJ
63999,3241,Unspecified,2020,WBS2U7C01L7F34360,Los Angeles,CA
58999,19465,Unspecified,2019,WBS2U7C58KVB09014,Fremont,CA
62950,9931,Unspecified,2020,WBS2U7C09L7F33067,Fort Lauderdale,FL
59980,16987,Unspecified,2019,WBS2U7C54KVB09141,Schererville,IN
66987,11004,Unspecified,2019,WBS2U7C59KVJ07687,Cedar Rapids,IA
61500,19937,Unspecified,2020,WBS2U7C09L7E76059,Vienna,VA
64487,9655,Unspecified,2020,WBS2U7C0XL7D74544,Durham,NC
64849,4440,Unspecified,2021,WBS2U7C06M7G47741,Bridgeport,CT
55999,9896,Unspecified,2019,WBS2U7C50K7D13665,Bradenton,FL
61997,17522,Unspecified,2019,WBS2U7C51KVJ07604,Hickory,NC
67900,1735,Unspecified,2020,WBS2U7C00L7E50059,Bloomington,IN
62555,18298,Unspecified,2020,WBS2U7C0XL7E56189,Round Rock,TX
64991,3199,Unspecified,2019,WBS2U7C52K7D42424,Louisville,KY
64500,5540,Unspecified,2020,WBS2U7C08L7F55710,Saint George,UT
66765,3690,Unspecified,2020,WBS2U7C03L7E98266,Massapequa Park,NY
66995,6879,Unspecified,2020,WBS2U7C03L7E10428,Milford,CT
68888,7486,Unspecified,2020,WBS2U7C03L7F89229,Vienna,VA
66999,4348,Unspecified,2020,WBS2U7C00L7E67931,N/A,N/A
63050,13966,Unspecified,2020,WBS2U7C03L7F41536,N/A,N/A
66597,6217,Unspecified,2020,WBS2U7C04L7D70912,N/A,N/A
