Price,Miles,Trim,Year,Vin,City,State
48999,17873,M340i,2020,WBA5U7C01LA232410,Riverside,CA
51000,6390,M340i,2021,3MW5U7J08M8B57592,Berkeley,CA
54994,7164,M340i,2021,3MW5U7J02M8B55577,Sacramento,CA
51830,21982,M340i,2020,WBA5U7C08LA232470,Newport Beach,CA
49995,7554,M340i,2020,3MW5U7J03L8B45493,Selma,TX
53993,3362,M340i,2021,3MW5U7J01M8B77635,Houston,TX
51440,2637,M340i,2020,WBA5U7C09LA286652,Albuquerque,NM
50888,21415,M340i,2020,WBA5U7C08LFH13213,Grapevine,TX
51900,27796,M340i,2020,WBA5U7C05LAF54079,Palm Harbor,FL
47777,31919,M340i,2020,WBA5U7C06LFH62121,Eugene,OR
46907,20430,M340i,2020,WBA5U7C05LFH30101,Franklin,TN
52999,8207,M340i,2020,WBA5U7C03LAF54176,Sacramento,CA
47998,20492,M340i,2020,WBA5U7C09LFH17058,North Charleston,SC
53854,13803,M340i,2020,3MW5U7J00L8B25993,Ocala,FL
49900,18499,M340i,2020,WBA5U7C06LAF54088,Concord,CA
49880,14199,M340i,2020,WBA5U7C01LFH84382,Houston,TX
48499,12239,M340i,2020,WBA5U7C06LFH08141,Jacksonville,FL
54493,6312,M340i,2020,3MW5U7J02L8B27101,Kansas City,MO
49800,17550,M340i,2020,WBA5U7C03LFH01292,Scottsdale,AZ
49884,11311,M340i,2020,WBA5U7C06LFH61292,Medford,OR
47740,14094,M340i,2020,WBA5U7C00LA234682,Roswell,GA
54999,3070,M340i,2021,3MW5U7J09M8B52529,Torrance,CA
58995,5107,M340i,2021,3MW5U7J08M8B63148,Weston,FL
48150,14149,M340i,2020,WBA5U7C0XLFH31826,Whittier,CA
51900,10996,M340i,2020,3MW5U7J03L8B36616,North Plainfield,NJ
53990,15547,M340i,2020,WBA5U7C09LFH62498,Garden Grove,CA
46489,30674,M340i,2020,WBA5U7C04LA234300,Atlanta,GA
51888,15252,M340i,2020,WBA5U7C00LAF54412,Phoenix,AZ
53897,8820,M340i,2020,WBA5U7C04LAF53960,Belmont,CA
54000,6155,M340i,2021,3MW5U7J05M8B60319,Berkeley,CA
56987,3562,M340i,2021,3MW5U7J09M8B55379,Fairfield,CA
56120,1931,M340i,2020,WBA5U7C0XLA234463,Cincinnati,OH
49900,9420,M340i,2020,WBA5U7C05LFH13380,Costa Mesa,CA
49995,9951,M340i,2020,WBA5U7C03LFH32090,Houston,TX
49999,13013,M340i,2020,WBA5U7C00LFH30605,Signal Hill,CA
49750,10650,M340i,2020,WBA5U7C00LFH11326,Whittier,CA
52094,9515,M340i,2020,WBA5U7C0XLFH48691,Bakersfield,CA
51950,9729,M340i,2020,WBA5U7C0XLFH33012,Murfreesboro,TN
54994,7164,M340i,2021,3MW5U7J02M8B55577,Sacramento,CA
52777,7368,M340i,2021,3MW5U7J00M8B65296,Columbia,SC
59900,1529,M340i,2020,WBA5U7C05LA234368,Springfield,IL
53000,7672,M340i,2020,WBA5U7C09LFH57267,Cerritos,CA
