Price,Miles,Trim,Year,Vin,City,State
45457,40481,Base,2015,WBS3R9C59FK330000,Kahului,HI
56500,29547,Base,2018,WBS4Y9C55JAC88112,Clearwater,FL
56288,42248,Base,2018,WBS4Y9C51JAA92376,Mesa,AZ
66517,11198,Base,2018,WBS4Z9C56JED31233,Austin,TX
59990,50178,Base,2018,WBS4Z9C55JED31241,Jacksonville,FL
52990,32685,Base,2017,WBS3R9C56HK708731,Anaheim,CA
61895,25486,Base,2018,WBS4Y9C56JAG66809,Tenafly,NJ
54334,53460,Base,2018,WBS4Y9C50JAA85533,Mission Viejo,CA
65398,6724,Base,2018,WBS4Y9C59JAA85692,Sanford,FL
51998,56148,Base,2018,WBS4Y9C50JAC87742,Davie,FL
57895,35720,Base,2018,WBS4Y9C58JAG66889,Fort Lauderdale,FL
68790,5916,Base,2018,WBS4Z9C59JEA24431,Vero Beach,FL
61000,27662,Base,2018,WBS4Z9C57JEA24055,Indianapolis,IN
44563,67634,Base,2016,WBS3R9C52GK337291,Hollywood,FL
39900,64872,Base,2015,WBS3R9C50FK331584,New York,NY
47901,54784,Base,2016,WBS3U9C53GP969816,Knoxville,TN
57583,32238,Base,2018,WBS4Y9C58JAC86922,Coconut Creek,FL
63500,29986,Base,2018,WBS4Z9C57JEA24475,Alexandria,VA
67861,4699,Base,2018,WBS4Z9C58JEA24050,Edmond,OK
68244,18596,Base,2018,WBS4Z9C53JED30993,MT LAUREL TOWNSHIP,NJ
41000,49376,Base,2015,WBS3R9C56FK331816,San Antonio,TX
81990,5932,Base,2020,WBS4Z9C02L5N69049,Saint Louis,MO
60888,21329,Base,2018,WBS4Y9C52JAC87953,San Rafael,CA
58995,26288,Base,2018,WBS4Z9C5XJEA24227,Costa Mesa,CA
67000,20057,Base,2020,WBS4Z9C06L5P66645,Framingham,MA
47880,50471,Base,2016,WBS3U9C56GP970023,Kent,WA
55999,17639,Base,2018,WBS4Y9C57JAC86152,Watchung,NJ
49999,38950,Base,2016,WBS3R9C53GK337901,Los Angeles,CA
61499,18139,Base,2018,WBS4Y9C52JAA92578,Sarasota,FL
69388,18237,Base,2018,WBS4Z9C5XJED22311,Tenafly,NJ
52799,24293,Base,2015,WBS3U9C59FJ968378,Crystal Lake,IL
60900,34965,Base,2018,WBS4Y9C55JAC87929,San Rafael,CA
62395,37244,Base,2018,WBS4Y9C5XJAG66733,Weston,FL
57999,19356,Base,2017,WBS3R9C50HK709891,Los Angeles,CA
37900,82970,Base,2016,WBS3U9C59GP969786,North Plainfield,NJ
42925,92561,Base,2016,WBS3U9C53GP970027,Pelham,AL
61990,41761,Base,2018,WBS4Z9C56JED30843,Indianapolis,IN
70995,18294,Base,2018,WBS4Z9C5XJEA24082,Lake Bluff,IL
42190,67411,Base,2016,WBS3R9C56GK336922,Valley Stream,NY
61881,19442,Base,2018,WBS4Y9C59JAG66691,Bethesda,MD
59970,41903,Base,2018,WBS4Y9C57JAC86300,Fort Lauderdale,FL
55970,6300,Base,2016,WBS3R9C56GK338153,Bridgeport,CT
61678,24724,Base,2018,WBS4Y9C50JAC87305,Greenwood,IN
69995,7850,Base,2018,WBS4Z9C58JED22548,Williamsville,NY
65995,20933,Base,2018,WBS4Z9C51JED22746,Fort Lauderdale,FL
40100,71986,Base,2015,WBS3R9C54FK329367,Palm Harbor,FL
49995,39552,Base,2016,WBS3U9C53GP968987,Thousand Oaks,CA
52995,36746,Base,2016,WBS3U9C59GP969920,Tampa,FL
59977,32197,Base,2018,WBS4Y9C56JAA85892,Barrington,IL
63988,25570,Base,2018,WBS4Z9C51JED22410,Bronx,NY
51900,48929,Base,2016,WBS3R9C53GK335792,Beaverton,OR
49499,20396,Base,2015,WBS3R9C52FK333837,Nashville,TN
79995,6388,Base,2020,WBS4Z9C02L5P91817,El Paso,TX
59264,25716,Base,2017,WBS3U9C53HP970854,Scottsdale,AZ
63875,31512,Base,2018,WBS4Z9C54JED22546,Ballwin,MO
62825,18884,Base,2018,WBS4Y9C54JAC87906,Newport Beach,CA
65900,22886,Base,2018,WBS4Y9C5XJAC87571,Knoxville,TN
57079,39808,Base,2017,WBS3U9C56HP970900,MT LAUREL TOWNSHIP,NJ
48995,45868,Base,2015,WBS3R9C52FK331103,Skokie,IL
50988,22964,Base,2015,WBS3U9C57FJ968136,Charlottesville,VA
62487,46835,Base,2018,WBS4Y9C51JAG62991,Newport Beach,CA
47613,48691,Base,2016,WBS3U9C56GP968532,Spring,TX
62900,36920,Base,2018,WBS4Y9C58JAA92357,Warrenville,IL
80591,18309,Base,2020,WBS4Z9C01L5N78521,Louisville,KY
51995,22222,Base,2015,WBS3R9C54FK332236,Beaverton,OR
47490,47797,Base,2016,WBS3R9C58GK337795,Concord,CA
55500,33684,Base,2017,WBS3R9C54HK708923,Vienna,VA
52900,24556,Base,2016,WBS3U9C53GP969055,Elwood,IN
64900,35479,Base,2018,WBS4Z9C59JED22168,Lamesa,TX
52500,31226,Base,2016,WBS3R9C54GK338393,Charlotte,NC
69950,16611,Base,2018,WBS4Z9C53JED30931,Greenwich,CT
54999,56011,Base,2018,WBS4Y9C51JAA85623,Los Angeles,CA
51999,55563,Base,2017,WBS3R9C57HK709922,Atlanta,GA
46881,31975,Base,2015,WBS3R9C56FK332111,Englewood,NJ
71272,15533,Base,2018,WBS4Y9C55JAA85317,Woodland Hills,CA
57495,17063,Base,2017,WBS3R9C37HA014117,Sewell,NJ
67967,5500,Base,2018,WBS4Y9C56JAC88104,Catonsville,MD
53999,27505,Base,2016,WBS3U9C59GP969092,Houston,TX
52876,35928,Base,2016,WBS3U9C52GP969371,Bridgeport,CT
50995,22430,Base,2015,WBS3R9C5XFK331625,Alexandria,VA
69900,14150,Base,2018,WBS4Y9C59JAA85434,Beaverton,OR
54991,27517,Base,2016,WBS3R9C53GK335856,Santa Monica,CA
67991,33455,Base,2018,WBS4Z9C53JED30895,Corpus Christi,TX
67990,32686,Base,2018,WBS4Y9C55JAA85818,Sachse,TX
52900,42455,Base,2016,WBS3U9C54GP969288,Cerritos,CA
57191,20202,Base,2017,WBS3R9C56HK709152,Roswell,GA
55900,34049,Base,2017,WBS3R9C30HK710084,Doral,FL
55997,37453,Base,2016,WBS3U9C51GP969538,Stafford,VA
39990,57582,Base,2015,WBS3R9C53FK333037,Valley Stream,NY
50485,41600,Base,2016,WBS3R9C52GK336979,Lynnwood,WA
53577,31026,Base,2016,WBS3U9C56GP970331,Barrington,IL
59990,20200,Base,2016,WBS3U9C59GP969013,Portland,OR
61972,27669,Base,2018,WBS4Y9C50JAC87143,West Chester,PA
65245,22368,Base,2018,WBS4Y9C54JAC87324,Tacoma,WA
61995,32366,Base,2018,WBS4Y9C50JAC86543,Atlanta,GA
52407,21906,Base,2016,WBS3R9C54GK336255,N/A,N/A
69900,6215,Base,2018,WBS4Z9C59JED22896,N/A,N/A
59888,28742,Base,2018,WBS4Z9C59JEA24056,N/A,N/A
70995,5288,Base,2018,WBS4Z9C53JED22957,N/A,N/A
68999,28388,Base,2018,WBS4Z9C52JED30998,N/A,N/A
78901,8515,CS,2019,WBS3S7C5XKAC09651,Knoxville,TN
80500,12539,CS,2020,WBS3S7C0XLFH08684,Summit,NJ
49999,53148,CS,2018,WBS4Y9C50JAC86204,Jamaica,NY
84999,2840,CS,2020,WBS3S7C06LAH85100,Madison,WI
68995,29462,CS,2019,WBS3S7C53KAC09314,Pleasant Grove,UT
78991,20252,CS,2019,WBS3S7C5XKAC09763,Houston,TX
77490,9646,CS,2019,WBS3S7C55KAC09525,Indianapolis,IN
77999,9962,CS,2019,WBS3S7C52KAC09725,Medford,OR
88887,5529,CS,2019,WBS3S7C56KAC09615,Newport Beach,CA
79900,5914,CS,2019,WBS3S7C52KAC09403,Baton Rouge,LA
79950,13722,CS,2019,WBS3S7C53KAC09622,Fort Lauderdale,FL
78995,4599,CS,2019,WBS3S7C52KAC09529,Paramus,NJ
76677,26477,CS,2019,WBS3S7C51KAC09635,Tampa,FL
66000,17260,CS,2018,WBS4Y9C53JAC87685,Schaumburg,IL
84495,4116,CS,2020,WBS3S7C00LAH85187,Akron,OH
67900,8689,CS,2018,WBS4Y9C51JAA85668,Costa Mesa,CA
73444,21712,CS,2019,WBS3S7C53KAC09667,Rochelle Park,NJ
77900,16740,CS,2019,WBS3S7C5XKAC09679,Springfield,IL
64900,22983,CS,2018,WBS4Y9C59JAC86816,Costa Mesa,CA
76998,14083,CS,2019,WBS3S7C53KAC09328,Lynnwood,WA
80988,1282,CS,2020,WBS3S7C00LAH85061,N/A,N/A
121888,4833,GTS,2016,WBS4S9C53GK578835,Escondido,CA
99000,9145,GTS,2016,WBS4S9C51GK579028,Canton,OH
93292,19301,GTS,2016,WBS4S9C33GK579076,Pompano Beach,FL
94900,3251,GTS,2016,WBS4S9C55GK578710,Orlando,FL
109900,5842,GTS,2016,WBS4S9C3XGK579110,Pompano Beach,FL
94995,615,Competition,2021,WBS33AZ02MCG07868,Fort Wayne,IN
79137,2896,Competition,2021,WBS33AZ0XMCG60253,Westlake Village,CA
99895,934,Competition,2021,WBS33AZ08MCG53463,Las Vegas,NV
88981,1246,Competition,2021,WBS33AZ0XMCG72547,Enfield,CT
70997,2905,Unspecified,2018,WBS4Y9C56JAG66678,Sacramento,CA
55899,38669,Unspecified,2018,WBS4Y9C58JAA85411,Orange,CA
45900,47970,Unspecified,2015,WBS3U9C52FP967926,Concord,CA
62990,21937,Unspecified,2019,WBS4Y9C5XKAG67530,Ridgefield,CT
51995,49264,Unspecified,2018,WBS4Y9C53JAC86374,San Jose,CA
41991,72476,Unspecified,2015,WBS3U9C53FJ968134,Conroe,TX
41890,72693,Unspecified,2015,WBS3R9C5XFK334671,North Canton,OH
65000,19042,Unspecified,2019,WBS4Y9C56KAG67685,Houston,TX
62976,21293,Unspecified,2018,WBS4Z9C56JED22497,Huntington Station,NY
