Price,Miles,Trim,Year,Vin,City,State
85997,19976,Z06,2019,1G1YU2D63K5603573,Nederland,TX
85995,1005,Z06,2016,1G1YS3D62G5610372,Missoula,MT
27597,50709,Z06,2003,1G1YY12S935116894,Federal Way,WA
82899,6564,Z06,2017,1G1YP3D63H5605717,Marlton,NJ
72000,21647,Z06,2015,1G1YU2D65F5605380,Portage,WI
82968,8610,Z06,2017,1G1YN2D61H5605635,Lititz,PA
79900,4108,Z06,2016,1G1YR2D60G5601658,White Oak,PA
76000,7696,Z06,2016,1G1YN2D6XG5607768,Naperville,IL
75980,9025,Z06,2016,1G1YS2D62G5610964,Branford,CT
82995,785,Z06,2019,1G1YP2D65K5604120,Indianapolis,IN
84490,2360,Z06,2019,1G1YS2D66K5604173,Wood River,IL
74999,6876,Z06,2016,1G1YT2D67G5610133,Washington,DC
73000,12024,Z06,2016,1G1YS2D62G5610284,Amory,MS
75500,11694,Z06,2016,1G1YP2D69G5604306,Columbia,SC
78000,2200,Z06,2015,1G1YU3D69F5602892,Redford,MI
72950,15239,Z06,2015,1G1YR2D62F5601529,Virginia Beach,VA
82997,4400,Z06,2016,1G1YS2D67G5610717,Sewell,NJ
72500,16233,Z06,2017,1G1YN2D62H5605658,Clarkston,MI
78900,29829,Z06,2016,1G1YS3D66G5603781,Knoxville,TN
77900,9464,Z06,2016,1G1YS2D64G5607645,Warrenville,IL
32559,18266,Z06,2003,1G1YY12S835104168,Morton Grove,IL
76499,11813,Z06,2017,1G1YP2D65H5602957,Carson City,NV
79999,14333,Z06,2015,1G1YU3D62F5604077,Atlanta,GA
79900,20218,Z06,2016,1G1YU2D64G5602570,Knoxville,TN
89999,3507,Z06,2019,1G1YT2D61K5602733,Sandy,OR
70086,31787,Z06,2015,1G1YT3D60F5601729,Novi,MI
85445,7261,Z06,2016,1G1YU3D68G5604828,Novi,MI
85995,1256,Z06,2017,1G1YS2D65H5606036,Seattle,WA
32999,19566,Z06,2003,1G1YY12S535118979,Greeley,CO
79000,11294,Z06,2016,1G1YU3D69G5606166,Schenectady,NY
79995,9400,Z06,2015,1G1YU2D66F5602777,Washington,IL
77996,4633,Z06,2015,1G1YU2D66F5607445,Archbold,OH
27997,54500,Z06,2002,1G1YY12S125111008,Grayslake,IL
23000,49487,Z06,2002,1G1YY12S125106844,Richmond,VA
85997,19976,Z06,2019,1G1YU2D63K5603573,Nederland,TX
76354,9473,Z06,2017,1G1YP2D62H5604150,Mckinney,TX
79994,32454,Z06,2017,1G1YU2D62H5603363,Rockingham,NC
86999,4213,Z06,2018,1G1YS2D60J5600585,Lakewood,CO
29950,26580,Z06,2003,1G1YY12S835123609,Royal Palm Beach,FL
51499,24179,Z06,2013,1G1YK2DE3D5100464,Stafford,TX
27597,50709,Z06,2003,1G1YY12S935116894,Federal Way,WA
77990,3349,Z06,2016,1G1YP2D60G5604551,Plant City,FL
29500,12577,Z06,2001,1G1YY12S915133207,Plymouth,MI
79650,7839,Z06,2016,1G1YS3D64G5612267,Finley,ND
21995,77350,Z06,2001,1G1YY12S215131394,Lugoff,SC
38890,41800,Z06,2008,1G1YY26EX85110779,Salem,OR
78700,3594,Z06,2016,1G1YR3D61G5601061,Arlington Heights,IL
29383,28836,Z06,2003,1G1YY12S835132648,Princeton,NJ
72977,24659,Z06,2016,1G1YS3D62G5602207,Euless,TX
82734,2871,Z06,2016,1G1YT2D69G5612191,Carrollton,TX
75999,17080,Z06,2016,1G1YN2D62G5611930,Tulsa,OK
32950,11690,Z06,2003,1G1YY12S335121556,Barneveld,NY
34988,10608,Z06,2003,1G1YY12S335100545,Glenview,IL
29877,27737,Z06,2002,1G1YY12S325118798,Hanover,PA
