Price,Miles,Trim,Year,Vin,City,State
179995,31187,Italia,2011,ZFF67NFA3B0177634,Hasbrouck Heights,NJ
225995,8273,Italia,2012,ZFF67NFA3C0188764,Glendale,CA
219888,8587,Italia,2013,ZFF67NFA5D0192848,San Diego,CA
229900,5354,Italia,2013,ZFF67NFA3D0194839,Naples,FL
192000,28860,Italia,2012,ZFF67NFA8C0183186,Canton,OH
198900,8957,Italia,2012,ZFF67NFA8C0183494,Deerfield Beach,FL
152990,33606,Italia,2010,ZFF67NFA5A0175883,Decatur,GA
219900,2833,Italia,2011,ZFF67NFA5B0182639,Anaheim,CA
189900,19328,Italia,2011,ZFF67NFA6B0180883,West Palm Beach,FL
239900,3262,Italia,2014,ZFF67NFA0E0199143,Naples,FL
248000,5350,Italia,2013,ZFF68NHA8D0190022,Houston,TX
239900,9980,Italia,2015,ZFF67NFA6F0210650,Sacramento,CA
195895,11786,Italia,2010,ZFF67NFA7A0176274,Orlando,FL
259900,7680,Italia,2015,ZFF68NHA3F0211670,Evansville,IN
234800,9786,Italia,2014,ZFF67NFA6E0201283,Lisle,IL
252900,12983,Italia,2014,ZFF68NHA4E0202653,Boca Raton,FL
209900,17685,Italia,2011,ZFF67NFAXB0178697,Brighton,MA
224888,15450,Italia,2013,ZFF67NFA3D0193318,Costa Mesa,CA
209900,8371,Italia,2011,ZFF67NFA0B0177154,Cleveland,OH
224900,11067,Italia,2011,ZFF67NFA8B0178584,Naples,FL
219999,11242,Italia,2012,ZFF67NFA0C0186700,Charlotte,NC
209895,4431,Italia,2011,ZFF67NFA8B0177452,Orlando,FL
239900,9830,Italia,2015,ZFF67NFA4F0209562,N/A,N/A
239900,15032,Italia,2014,ZFF67NFA0E0203031,N/A,N/A
234995,10915,Italia,2014,ZFF67NFAXE0200444,N/A,N/A
265800,1307,Italia,2012,ZFF67NFA9C0183164,N/A,N/A
232800,2700,Italia,2011,ZFF67NFA5B0178607,N/A,N/A
249990,2392,Italia,2014,ZFF67NFA5E0203459,N/A,N/A
205000,15122,Italia,2011,ZFF67NFA1B0177292,N/A,N/A
219000,9029,Italia,2011,ZFF67NFAXB0179008,N/A,N/A
239000,12093,Italia,2014,ZFF67NFA1E0199748,N/A,N/A
499800,357,Speciale,2015,ZFF75VFA1F0212851,Atlanta,GA
654990,456,Speciale,2015,ZFF78VHA7F0213359,Greensboro,NC
699985,264,Speciale,2015,ZFF78VHA7F0213197,Palm Harbor,FL
749950,303,Speciale,2015,ZFF78VHA7F0215239,Miami,FL
549950,332,Speciale,2015,ZFF75VFA7F0212854,Miami,FL
449900,1375,Speciale,2015,ZFF75VFA4F0207238,N/A,N/A
248994,7869,Unspecified,2015,ZFF68NHA0F0210072,Orlando,FL
242899,14169,Unspecified,2014,ZFF68NHA7E0198842,Deland,FL
239995,13813,Unspecified,2015,ZFF68NHA2F0211692,Red Bank,NJ
438100,2380,Unspecified,2014,ZFF75VFA7E0203568,Indian Trail,NC
269900,4316,Unspecified,2014,ZFF68NHA0E0200222,Naples,FL
239995,10171,Unspecified,2013,ZFF68NHA9D0195729,Bonita Springs,FL
289500,5585,Unspecified,2015,ZFF68NHA8F0205539,Sarasota,FL
274997,4159,Unspecified,2015,ZFF68NHA0F0206698,Miami,FL
260000,12610,Unspecified,2013,ZFF68NHA4D0191992,Miami,FL
226895,14035,Unspecified,2013,ZFF68NHA3D0192809,Orlando,FL
249900,9178,Unspecified,2013,ZFF68NHA9D0190479,Fort Lauderdale,FL
214900,27163,Unspecified,2014,ZFF68NHA4E0199804,N/A,N/A
254995,12645,Unspecified,2014,ZFF68NHA2E0203591,N/A,N/A
249900,5633,Unspecified,2014,ZFF68NHA7E0197867,N/A,N/A
239000,16492,Unspecified,2014,ZFF68NHA6E0201990,N/A,N/A
239000,7219,Unspecified,2012,ZFF68NHA3C0187270,N/A,N/A
259000,8187,Unspecified,2013,ZFF68NHA6D0191802,N/A,N/A
255000,16002,Unspecified,2015,ZFF68NHA8F0207405,N/A,N/A
