Price,Miles,Trim,Year,Vin,City,State
42500,2229,Shelby-GT500,2007,1ZVHT88S875260266,Federal Way,WA
39995,24048,Shelby-GT500,2009,1ZVHT88S995114283,Gresham,OR
96274,1961,Shelby-GT500,2020,1FA6P8SJ4L5503117,San Diego,CA
90995,3473,Shelby-GT500,2020,1FA6P8SJ6L5500610,Butler,NJ
94700,1659,Shelby-GT500,2020,1FA6P8SJ7L5501930,Harriman,TN
89000,8439,Shelby-GT500,2020,1FA6P8SJ5L5501649,Malvern,AR
93900,4254,Shelby-GT500,2020,1FA6P8SJ4L5505725,Atlanta,GA
89988,4276,Shelby-GT500,2020,1FA6P8SJ5L5505166,Denton,TX
92995,531,Shelby-GT500,2020,1FA6P8SJXL5502358,Fargo,ND
89991,6132,Shelby-GT500,2020,1FA6P8SJ9L5500214,Houston,TX
94977,2455,Shelby-GT500,2020,1FA6P8SJ8L5505839,Buford,GA
94577,1001,Shelby-GT500,2020,1FA6P8SJXL5504336,Buford,GA
95990,2361,Shelby-GT500,2020,1FA6P8SJ5L5502848,Daly City,CA
92000,11064,Shelby-GT500,2020,1FA6P8SJ7L5500812,Ottawa,KS
91316,7521,Shelby-GT500,2020,1FA6P8SJXL5502330,Groveport,OH
91886,3582,Shelby-GT500,2020,1FA6P8SJ4L5502436,Saukville,WI
86981,6825,Shelby-GT500,2020,1FA6P8SJ2L5504444,Surprise,AZ
99900,807,Shelby-GT500,2020,1FA6P8SJ9L5504733,Naples,FL
95000,823,Shelby-GT500,2020,1FA6P8SJ4L5502467,Peotone,IL
94999,1558,Shelby-GT500,2020,1FA6P8SJ1L5502409,Martin,TN
33777,35818,Shelby-GT500,2009,1ZVHT88S895119975,Colorado Springs,CO
92677,2339,Shelby-GT500,2020,1FA6P8SJXL5501260,Euless,TX
99990,715,Shelby-GT500,2021,1FA6P8SJ4M5500090,Columbia,SC
38499,22106,Shelby-GT500,2010,1ZVBP8JS4A5169037,Plano,TX
99209,3754,Shelby-GT500,2020,1FA6P8SJ9L5505123,Vista,CA
95993,2852,Shelby-GT500,2020,1FA6P8SJ2L5504251,Greenville,TX
94420,1645,Shelby-GT500,2020,1FA6P8SJ8L5501211,Highland,MI
92890,1365,Shelby-GT500,2020,1FA6P8SJ8L5505534,Denham Springs,LA
99988,5514,Shelby-GT500,2020,1FA6P8SJ6L5505645,Sacramento,CA
98995,763,Shelby-GT500,2020,1FA6P8SJ3L5503626,Van Nuys,CA
39000,1103,Shelby-GT500,2007,1ZVHT88S575303526,RANDOLPH,OH
93991,5270,Shelby-GT500,2020,1FA6P8SJ6L5500574,Scottsdale,AZ
87450,9788,Shelby-GT500,2020,1FA6P8SJ7L5499998,Hardeeville,SC
87990,8167,Shelby-GT500,2020,1FA6P8SJ6L5500087,Hardeeville,SC
96274,1961,Shelby-GT500,2020,1FA6P8SJ4L5503117,San Diego,CA
97995,4439,Shelby-GT500,2020,1FA6P8SJ3L5501536,Van Nuys,CA
89997,1473,Shelby-GT500,2020,1FA6P8SJ6L5505158,San Antonio,TX
94534,6004,Shelby-GT500,2020,1FA6P8SJ0L5502854,Bradenton,FL
89900,602,Shelby-GT500,2020,1FA6P8SJ6L5501918,Byron,GA
99900,1300,Shelby-GT500,2020,1FA6P8SJ2L5504105,Sarver,PA
39995,13751,Shelby-GT500,2008,1ZVHT88S185161130,Owensboro,KY
34899,49975,Shelby-GT500,2007,1ZVHT88S675285991,Daytona Beach,FL
98887,672,Shelby-GT500,2020,1FA6P8SJ2L5505285,Merced,CA
38491,32589,Shelby-GT500,2007,1ZVHT88S075267793,Lowell,MA
42990,2576,Shelby-GT500,2009,1ZVHT88S495129967,VIRGINIA BEACH,VA
94900,1990,Shelby-GT500,2020,1FA6P8SJXL5504854,Pompano Beach,FL
37900,9691,Shelby-GT500,2007,1ZVHT88S275249375,Venice,FL
39900,11898,Shelby-GT500,2009,1ZVHT88S795124309,Rockwall,TX
94995,3987,Shelby-GT500,2020,1FA6P8SJ0L5501011,Knoxville,TN
37500,31858,Shelby-GT500,2009,1ZVHT88S895144200,Shakopee,MN
29995,66242,Shelby-GT500,2008,1ZVHT88S685149393,Addison,TX
98488,1660,Shelby-GT500,2020,1FA6P8SJ0L5502532,Newhall,IA
39285,86545,Shelby-GT500,2013,1ZVBP8JZ7D5222220,Kernersville,NC
35000,79933,Shelby-GT500,2011,1ZVBP8JS5B5139787,Elizabeth City,NC
99995,863,Shelby-GT500,2020,1FA6P8SJ0L5505088,Fenton,MI
43990,19352,Shelby-GT500,2008,1ZVHT88S585205064,Rockville,MD
101555,1450,Shelby-GT500,2020,1FA6P8SJ1L5503947,Round Rock,TX
98989,3346,Shelby-GT500,2020,1FA6P8SJ9L5502643,Barrington,IL
102222,1091,Shelby-GT500,2021,1FA6P8SJ6M5500382,Macomb,MI
33960,41745,Shelby-GT500,2008,1ZVHT88S685174231,Morton,IL
31000,56067,Shelby-GT500,2007,1ZVHT89S675240306,Scottsdale,AZ
34928,35850,Shelby-GT500,2007,1ZVHT88S375209791,Lansing,MI
38720,20639,Shelby-GT500,2008,1ZVHT88S385106923,Schaumburg,IL
35995,24393,Shelby-GT500,2008,1ZVHT88S485143219,New Castle,DE
