Price,Miles,Trim,Year,Vin,City,State,Link Status
207533,8523,LP580,2018,ZHWUC2ZF6JLA10084,Elyria,OH,Working
199950,21030,LP580,2017,ZHWUC2ZF0HLA06221,Venice,FL,Working
239999,3425,LP580,2017,ZHWUR2ZF3HLA06339,Charlotte,NC,Working
201997,33586,LP580,2017,ZHWUR2ZF0HLA06847,Lehi,UT,Working
215999,15582,LP580,2018,ZHWUC2ZF7JLA08604,Saint Clair Shores,MI,Working
225954,12168,LP580,2017,ZHWUR2ZF4HLA07404,Sarasota,FL,Working
204750,30355,LP580,2016,ZHWUC2ZF0GLA04550,Spring,TX,Working
239998,427,LP580,2018,ZHWUC2ZF3JLA09216,Wayland,MA,Working
214997,2988,LP580,2016,ZHWUC2ZFXGLA05186,Miami,FL,Working
229900,5844,LP580,2018,ZHWUC2ZF6JLA09453,Brighton,MA,Working
234888,6213,LP580,2017,ZHWUR2ZF2HLA07403,Boerne,TX,Working
197500,29112,LP580,2016,ZHWUC2ZF4GLA04633,Canton,OH,Working
239900,3558,LP580,2019,ZHWUC2ZF0KLA12768,Boerne,TX,Working
239000,6379,LP580,2019,ZHWUC2ZF4KLA12322,Brentwood,TN,Working
249990,7780,LP580,2019,ZHWUC2ZF5KLA11535,Dallas,TX,Working
222996,12894,LP580,2017,ZHWUC2ZF4HLA08103,Charlotte,NC,Working
230995,4851,LP580,2018,ZHWUC2ZFXJLA10718,Paramus,NJ,Working
217988,10385,LP580,2017,ZHWUC2ZF6HLA06093,Henderson,NV,Working
258000,3990,LP580,2018,ZHWUC2ZF5JLA10402,Quincy,MA,Working
299001,21294,LP580,2017,ZHWUR2ZF1HLA05903,Brooklyn,NY,Working
243990,8278,LP580,2019,ZHWUC2ZF8KLA11237,Dallas,TX,Working
228800,4624,LP580,2017,ZHWUC2ZF4HLA07923,Miami,FL,Working
239995,3709,LP580,2019,ZHWUC2ZF5KLA11342,Willowbrook,IL,Working
279000,9648,LP580,2017,ZHWUC2ZF9HLA08260,Evansville,IN,Working
239995,3933,LP580,2019,ZHWUC2ZF2KLA12092,Houston,TX,Working
244996,5820,LP580,2018,ZHWUR2ZF3JLA09456,Charlotte,NC,Working
232490,5336,LP580,2019,ZHWUC2ZF2KLA12447,Quincy,MA,Working
239995,2826,LP580,2017,ZHWUC2ZFXHLA05982,Birmingham,MI,Working
227995,15345,LP580,2016,ZHWUC2ZF6GLA04570,Paramus,NJ,Working
199999,43425,LP580,2016,ZHWUC2ZF8GLA04635,Henderson,NV,Working
214996,19016,LP580,2016,ZHWCC2ZF8GLA05005,Charlotte,NC,Working
225000,16869,LP580,2016,ZHWUC2ZF5GLA04365,Torrington,CT,Working
229800,7891,LP580,2017,ZHWUC2ZF2HLA05880,Las Vegas,NV,Working
