Price,Miles,Trim,Year,Vin,City,State,Link Status
229900,8075,Unspecified,2019,SBM13RAAXKW007150,Boca Raton,FL,Working
244450,12799,Unspecified,2020,SBM13SAA3LW008178,West Chester,PA,Working
249990,8699,Unspecified,2020,SBM13SAAXLW007741,West Palm Beach,FL,Working
249877,4158,Unspecified,2020,SBM13SAA0LW007960,Butler,NJ,Working
249998,18916,Unspecified,2020,SBM13SAA3LW008102,Lauderdale Lakes,FL,Working
259000,3090,Unspecified,2020,SBM13SAA8LW008094,Pompano Beach,FL,Working
269995,5160,Unspecified,2019,SBM13RAA1KW007652,West Chester,PA,Working
239995,14227,Unspecified,2020,SBM13SAA4LW008576,Birmingham,MI,Working
246463,3969,Unspecified,2019,SBM13RAAXKW007522,Davie,FL,Working
259900,927,Unspecified,2019,SBM13RAA5KW007282,Coral Gables,FL,Working
249996,2035,Unspecified,2019,SBM13RAA8KW006787,Charlotte,NC,Working
242888,3780,Unspecified,2019,SBM13RAA8KW006742,Boerne,TX,Working
249996,6773,Unspecified,2019,SBM13RAA6KW006741,Charlotte,NC,Working
243000,2921,Unspecified,2019,SBM13RAA2KW007563,Davie,FL,Working
249000,6905,Unspecified,2019,SBM13RAA7KW007588,Fishers,IN,Working
274995,5017,Unspecified,2019,SBM13RAA1KW006792,Houston,TX,Working
249989,2788,Unspecified,2019,SBM13RAA0KW006511,Barrington,IL,Working
249995,4958,Unspecified,2019,SBM13RAA6KW007419,Akron,OH,Working
299996,2023,Unspecified,2020,SBM13SAA2LW009080,Charlotte,NC,Working
299998,5995,Unspecified,2019,SBM13RAA6KW006903,Lauderdale Lakes,FL,Working
239450,5810,Unspecified,2019,SBM13RAA7KW006795,Bellevue,WA,Working
239991,3696,Unspecified,2019,SBM13RAA0KW006833,Palo Alto,CA,Working
269900,3495,Unspecified,2019,SBM13RAAXKW006774,West Palm Beach,FL,Working
249990,1060,Unspecified,2019,SBM13RAA5KW007248,N/A,N/A,Working
259900,488,Unspecified,2019,SBM13RAA4KW006799,N/A,N/A,Working
