Price,Miles,Trim,Year,Vin,City,State,Link Status
323996,11522,Performance,2020,SBM14FCA7LW004085,Charlotte,NC,Working
339990,842,Performance,2020,SBM14FCA2LW005290,West Chester,PA,Working
264996,10787,Performance,2018,SBM14DCA1JW001183,Charlotte,NC,Working
339900,7125,Performance,2020,SBM14FCA0LW005336,Addison,TX,Working
334871,617,Performance,2020,SBM14FCA2LW005256,Los Gatos,CA,Working
265000,14054,Performance,2018,SBM14DCA4JW001792,Summit,NJ,Working
256895,6500,Performance,2018,SBM14DCA4JW002229,Orlando,FL,Working
289990,11417,Performance,2019,SBM14DCA7KW003666,West Chester,PA,Working
335000,3758,Performance,2020,SBM14FCA9LW005450,Chicago,IL,Working
279995,2831,Performance,2019,SBM14DCA0KW002438,West Chester,PA,Working
329900,5370,Performance,2020,SBM14FCA0LW005224,Addison,TX,Working
264996,11999,Performance,2018,SBM14DCAXJW000193,Charlotte,NC,Working
274900,4275,Performance,2018,SBM14DCA4JW000688,Addison,TX,Working
269777,7298,Performance,2018,SBM14DCA5JW001283,Stafford,VA,Working
359996,1858,Performance,2020,SBM14FCA2LW005032,Charlotte,NC,Working
362888,1034,Performance,2020,SBM14FCA9LW004590,Roslyn,NY,Working
273991,22653,Performance,2018,SBM14DCA4JW001310,Marina Del Rey,CA,Working
279800,12050,Performance,2018,SBM14DCA9JW002288,Las Vegas,NV,Working
283900,9119,Performance,2019,SBM14DCA6KW002914,Brighton,MA,Working
333989,4095,Performance,2020,SBM14FCA2LW004060,Barrington,IL,Working
329996,2224,Performance,2020,SBM14DCA4LW005408,Charlotte,NC,Working
279990,5700,Performance,2018,SBM14DCA8JW001648,Concord,CA,Working
330995,6235,Performance,2018,SBM14DCA9JW000671,Schnecksville,PA,Working
369996,950,Performance,2020,SBM14FCA1LW004101,Charlotte,NC,Working
349996,4272,Performance,2020,SBM14FCA4LW005453,Charlotte,NC,Working
307456,2600,Performance,2020,SBM14DCA0LW005325,Charlotte,NC,Working
344544,4896,Performance,2020,SBM14FCA2LW004169,Charlotte,NC,Working
369996,1935,Performance,2020,SBM14FCA8LW005097,Charlotte,NC,Working
318996,1247,Performance,2020,SBM14DCA6LW005409,Charlotte,NC,Working
356000,608,Performance,2020,SBM14FCA2LW004222,Summit,NJ,Working
289996,2728,Performance,2019,SBM14DCA3KW003017,Charlotte,NC,Working
339900,6594,Performance,2020,SBM14FCA1LW004356,Brighton,MA,Working
375900,750,Performance,2020,SBM14FCA4LW004464,Addison,TX,Working
299998,5279,Performance,2018,SBM14DCAXJW000968,Lauderdale Lakes,FL,Working
349888,3806,Performance,2020,SBM14FCA4LW003766,Boerne,TX,Working
359996,3024,Performance,2020,SBM14FCA5LW003761,Charlotte,NC,Working
309996,15926,Performance,2019,SBM14DCA7KW002761,Charlotte,NC,Working
294996,4696,Performance,2019,SBM14DCA7KW003456,Charlotte,NC,Working
289996,7544,Performance,2019,SBM14DCA1KW002562,Charlotte,NC,Working
299998,15052,Performance,2018,SBM14DCA8JW002315,Lauderdale Lakes,FL,Working
369996,2120,Performance,2020,SBM14FCAXLW004467,Charlotte,NC,Working
359996,4763,Performance,2020,SBM14FCA3LW004522,Charlotte,NC,Working
344995,823,Performance,2020,SBM14FCAXLW005196,N/A,N/A,Working
339900,6663,Performance,2020,SBM14FCA3LW004276,N/A,N/A,Working
364900,1591,Performance,2020,SBM14FCA5LW004070,N/A,N/A,Working
314888,3536,Performance,2019,SBM14DCA9KW003426,N/A,N/A,Working
249998,31569,Luxury,2019,SBM14DCA2KW002490,Lauderdale Lakes,FL,Working
279900,7400,Luxury,2019,SBM14DCA8KW002574,Boca Raton,FL,Working
259988,6975,Luxury,2018,SBM14DCA9JW000573,Pennington,NJ,Working
267900,4994,Luxury,2018,SBM14DCA9JW000606,Cleveland,OH,Working
300000,523,Luxury,2019,SBM14DCA1KW002917,Chicago,IL,Working
328777,5318,Luxury,2019,SBM14FCA6KW003508,Boerne,TX,Working
