Price,Miles,Trim,Year,Vin,City,State,Link Status
58580,14782,Base,2017,WP0CA2A8XHS220126,Mission Viejo,CA,Working
53992,43183,Base,2017,WP0CA2A88HS220089,Oklahoma City,OK,Working
58999,7980,Base,2018,WP0CA2A80JS210260,Fort Myers,FL,Working
64906,14562,Base,2019,WP0CA2A89KS211327,Farmington,MI,Working
50588,43858,Base,2017,WP0CA2A82HS220721,Roseville,CA,Working
60988,5008,Base,2017,WP0CA2A84HS220414,Grapevine,TX,Working
55000,21912,Base,2017,WP0CA2A87HS221363,Ferndale,MI,Working
59995,27537,Base,2017,WP0CA2A85HS220230,Warwick,RI,Working
63900,5271,Base,2019,WP0CA2A85KS210210,Fairfield,CT,Working
59995,25600,Base,2017,WP0CA2A86HS222116,Orlando,FL,Working
61545,7266,Base,2017,WP0CA2A85HS221393,Orlando,FL,Working
57490,22104,Base,2017,WP0CA2A82HS221853,Daytona Beach,FL,Working
61988,28164,Base,2019,WP0CA2A80KS210244,Olympia,WA,Working
70750,3543,Base,2019,WP0CA2A86KS210331,Toledo,OH,Working
52883,57001,Base,2017,WP0CA2A84HS221661,Mocksville,NC,Working
58799,29056,Base,2019,WP0CA2A8XKS210185,Medford,OR,Working
58900,28812,Base,2018,WP0CA2A82JS210745,Edison,NJ,Working
62587,22115,Base,2019,WP0CA2A88KS210248,Cathedral City,CA,Working
61910,11839,Base,2018,WP0CA2A83JS210947,Tampa,FL,Working
61255,14920,Base,2017,WP0CA2A80HS220832,Ann Arbor,MI,Working
69500,6879,Base,2019,WP0CA2A89KS210758,Fishers,IN,Working
60000,47328,Base,2018,WP0CA2A88JS210362,West Palm Beach,FL,Working
60000,28299,Base,2018,WP0CA2A8XJS210766,Scottsdale,AZ,Working
66977,4137,Base,2019,WP0CA2A85KS210286,Las Vegas,NV,Working
60000,14644,Base,2017,WP0CA2A83HS221943,Centerville,UT,Working
64000,22947,Base,2018,WP0CA2A86JS210957,Memphis,TN,Working
68995,5634,Base,2018,WP0CA2A84JS210892,Novi,MI,Working
61000,17657,Base,2017,WP0CA2A83HS220467,West Palm Beach,FL,Working
66926,9748,Base,2018,WP0CA2A86JS210859,Ontario,OH,Working
64995,14963,Base,2018,WP0CA2A89JS210628,Parsippany,NJ,Working
59891,17823,Base,2017,WP0CA2A82HS221643,Olive Branch,MS,Working
69991,3349,Base,2019,WP0CA2A82KS210732,Lakewood,CO,Working
62900,19634,Base,2017,WP0CA2A88HS221176,Pompano Beach,FL,Working
65001,25056,Base,2019,WP0CA2A86KS210278,Framingham,MA,Working
62495,9085,Base,2017,WP0CA2A87HS220262,Hickory,NC,Working
69990,14801,Base,2019,WP0CA2A81KS211077,Sarasota,FL,Working
69910,13344,Base,2019,WP0CA2A88KS210766,Tampa,FL,Working
61998,16631,Base,2017,WP0CA2A86HS221130,Lancaster,PA,Working
67799,9051,Base,2019,WP0CA2A87KS210970,Atlanta,GA,Working
63990,41215,Base,2019,WP0CA2A83KS210075,N/A,N/A,Working
61795,7782,Base,2017,WP0CA2A84HS221207,N/A,N/A,Working
63655,4594,Base,2018,WP0CA2A82JS210891,N/A,N/A,Working
58996,9953,Base,2018,WP0CA2A86JS210523,N/A,N/A,Working
85773,9553,Base,2018,WP0CA2A8XJS210119,N/A,N/A,Working
64995,16522,S,2017,WP0CB2A80HS240298,Bellingham,WA,Working
74987,9070,S,2019,WP0CB2A86KS228471,Paris,KY,Working
57988,46853,S,2017,WP0CB2A86HS240337,Irwin,PA,Working
92700,2581,S,2021,WP0CB2A89MS225101,Chandler,AZ,Working
69595,23368,S,2018,WP0CB2A87JS228526,Davie,FL,Working
92788,6647,S,2021,WP0CB2A85MS225077,Santa Clara,CA,Working
74995,7581,S,2017,WP0CB2A83HS240408,Melbourne,FL,Working
69990,19030,S,2017,WP0CB2A86HS240919,Jacksonville,FL,Working
99995,905,S,2021,WP0CB2A82MS225070,Rocklin,CA,Working
82788,5483,S,2019,WP0CB2A81KS228720,Santa Clara,CA,Working
69900,20129,S,2017,WP0CB2A86HS241360,Pompano Beach,FL,Working
79888,19906,S,2018,WP0CB2A84JS228273,Reno,NV,Working
72991,14835,S,2017,WP0CB2A80HS240267,Jacksonville,FL,Working
73990,12996,S,2017,WP0CB2A89HS241739,Scottsdale,AZ,Working
86445,790,S,2019,WP0CB2A85KS228915,Elyria,OH,Working
66990,13013,S,2017,WP0CB2A87HS240492,Countryside,IL,Working
77995,9793,S,2018,WP0CB2A85JS229321,Torrance,CA,Working
74989,24535,S,2018,WP0CB2A82JS228448,Maitland,FL,Working
69900,9200,S,2017,WP0CB2A86HS241715,Portland,OR,Working
76995,17628,S,2018,WP0CB2A81JS228425,Fairfield,CT,Working
76987,15489,S,2018,WP0CB2A89JS228284,Stratham,NH,Working
79995,8228,S,2019,WP0CB2A84KS228341,Conshohocken,PA,Working
67999,31000,S,2017,WP0CB2A87HS241223,Daly City,CA,Working
76987,13409,S,2018,WP0CB2A83JS228457,Stratham,NH,Working
81762,6274,S,2018,WP0CB2A81JS228067,Marietta,GA,Working
64995,16522,S,2017,WP0CB2A80HS240298,Bellingham,WA,Working
74987,9070,S,2019,WP0CB2A86KS228471,Paris,KY,Working
57988,46853,S,2017,WP0CB2A86HS240337,Irwin,PA,Working
92700,2581,S,2021,WP0CB2A89MS225101,Chandler,AZ,Working
69595,23368,S,2018,WP0CB2A87JS228526,Davie,FL,Working
92788,6647,S,2021,WP0CB2A85MS225077,Santa Clara,CA,Working
74995,7581,S,2017,WP0CB2A83HS240408,Melbourne,FL,Working
69990,19030,S,2017,WP0CB2A86HS240919,Jacksonville,FL,Working
99995,905,S,2021,WP0CB2A82MS225070,Rocklin,CA,Working
82788,5483,S,2019,WP0CB2A81KS228720,Santa Clara,CA,Working
69900,20129,S,2017,WP0CB2A86HS241360,Pompano Beach,FL,Working
79888,19906,S,2018,WP0CB2A84JS228273,Reno,NV,Working
72991,14835,S,2017,WP0CB2A80HS240267,Jacksonville,FL,Working
73990,12996,S,2017,WP0CB2A89HS241739,Scottsdale,AZ,Working
86445,790,S,2019,WP0CB2A85KS228915,Elyria,OH,Working
66990,13013,S,2017,WP0CB2A87HS240492,Countryside,IL,Working
77995,9793,S,2018,WP0CB2A85JS229321,Torrance,CA,Working
74989,24535,S,2018,WP0CB2A82JS228448,Maitland,FL,Working
69900,9200,S,2017,WP0CB2A86HS241715,Portland,OR,Working
76995,17628,S,2018,WP0CB2A81JS228425,Fairfield,CT,Working
76987,15489,S,2018,WP0CB2A89JS228284,Stratham,NH,Working
79995,8228,S,2019,WP0CB2A84KS228341,Conshohocken,PA,Working
67999,31000,S,2017,WP0CB2A87HS241223,Daly City,CA,Working
76987,13409,S,2018,WP0CB2A83JS228457,Stratham,NH,Working
81762,6274,S,2018,WP0CB2A81JS228067,Marietta,GA,Working
64995,16522,GTS,2017,WP0CB2A80HS240298,Bellingham,WA,Working
74987,9070,GTS,2019,WP0CB2A86KS228471,Paris,KY,Working
57988,46853,GTS,2017,WP0CB2A86HS240337,Irwin,PA,Working
92700,2581,GTS,2021,WP0CB2A89MS225101,Chandler,AZ,Working
69595,23368,GTS,2018,WP0CB2A87JS228526,Davie,FL,Working
92788,6647,GTS,2021,WP0CB2A85MS225077,Santa Clara,CA,Working
74995,7581,GTS,2017,WP0CB2A83HS240408,Melbourne,FL,Working
69990,19030,GTS,2017,WP0CB2A86HS240919,Jacksonville,FL,Working
99995,905,GTS,2021,WP0CB2A82MS225070,Rocklin,CA,Working
82788,5483,GTS,2019,WP0CB2A81KS228720,Santa Clara,CA,Working
69900,20129,GTS,2017,WP0CB2A86HS241360,Pompano Beach,FL,Working
79888,19906,GTS,2018,WP0CB2A84JS228273,Reno,NV,Working
72991,14835,GTS,2017,WP0CB2A80HS240267,Jacksonville,FL,Working
73990,12996,GTS,2017,WP0CB2A89HS241739,Scottsdale,AZ,Working
86445,790,GTS,2019,WP0CB2A85KS228915,Elyria,OH,Working
66990,13013,GTS,2017,WP0CB2A87HS240492,Countryside,IL,Working
77995,9793,GTS,2018,WP0CB2A85JS229321,Torrance,CA,Working
