Price,Miles,Trim,Year,Vin,City,State
69893,41499,Carrera,2014,WP0AA2A90ES106101,Newport Beach,CA
29998,91660,Carrera,2003,WP0AA29963S622822,Knoxville,TN
19899,88650,Carrera,2000,WP0CA2996YS654671,Renton,WA
99991,5092,Carrera,2018,WP0AA2A96JS106453,Powell,OH
93500,44347,Carrera,2016,WP0AB2A9XGS123164,Santa Barbara,CA
72500,33900,Carrera,2015,WP0AA2A98FS106882,Boca Raton,FL
37899,74589,Carrera,2007,WP0AA29927S711440,Deerfield Beach,FL
22998,113307,Carrera,2003,WP0CA29943S650353,Plano,TX
75000,35504,Carrera,2016,WP0AA2A95GS106730,West Palm Beach,FL
99992,8171,Carrera,2018,WP0AA2A96JS106307,Woodland Hills,CA
47999,60473,Carrera,2011,WP0AA2A95BS706429,Denver,CO
39990,32428,Carrera,2004,WP0AA29974S620563,Gladstone,OR
82995,22524,Carrera,2014,WP0AA2A91ES107080,Warwick,RI
18950,113633,Carrera,2001,WP0CA29971S651378,Garner,NC
24989,89181,Carrera,2003,WP0AA29903S622072,Tacoma,WA
117995,7782,Carrera,2020,WP0AA2A91LS205586,Plano,TX
108788,14785,Carrera,2019,WP0AA2A9XKS104206,Santa Clara,CA
61500,52598,Carrera,2014,WP0AA2A9XES107417,St Louis Park,MN
30500,63955,Carrera,2001,WP0AA29981S622561,San Luis Obispo,CA
19850,87513,Carrera,2000,WP0CA2997YS650712,Daly City,CA
129995,828,Carrera,2021,WP0AA2A96MS206234,West Melbourne,FL
25900,103802,Carrera,2005,WP0AA29905S715466,Fort Lauderdale,FL
104881,7873,Carrera,2018,WP0AA2A90JS105783,Ontario,CA
65000,53557,Carrera,2013,WP0AA2A95DS107565,Ramsey,NJ
33491,39890,Carrera,2004,WP0AA29944S621735,Orange,CA
83995,10308,Carrera,2014,WP0CA2A9XES140071,New London,CT
36999,76371,Carrera,2005,WP0AA29985S715361,Carrollton,TX
38991,71252,Carrera,2007,WP0AA299X7S710133,Dallas,TX
27617,79803,Carrera,2003,WP0AA29913S620153,Carmel,IN
77940,26898,Carrera,2015,WP0CA2A97FS137078,Boca Raton,FL
64995,53957,Carrera,2015,WP0AA2A91FS106898,Addison,TX
33500,98041,Carrera,2005,WP0AA29945S716085,Houston,TX
97998,6665,Carrera,2017,WP0AA2A97HS107492,Minneapolis,MN
28988,60956,Carrera,2002,WP0AA29922S622542,Duluth,GA
59900,103352,Carrera,2015,WP0AA2A96FS100062,Brooklyn,NY
139591,1965,Carrera,2021,WP0AA2A93MS205882,Elyria,OH
105946,9344,Carrera,2018,WP0AA2A94JS105494,Sarasota,FL
57995,20679,Carrera,2011,WP0CA2A9XBS740245,West Palm Beach,FL
97298,17893,Carrera,2019,WP0AA2A98KS103524,Bradenton,FL
