Price,Miles,Trim,Year,Vin,City,State,Link Status
48991,23970,Long-Range,2018,5YJ3E1EB2JF131335,Richmond,CA,Working
39899,64896,Long-Range,2019,5YJ3E1EBXKF433019,Tampa,FL,Working
41899,46332,Long-Range,2018,5YJ3E1EB6JF095942,Riverside,CA,Working
47990,16659,Long-Range,2018,5YJ3E1EB8JF117780,Saint Louis,MO,Working
40998,58120,Long-Range,2018,5YJ3E1EB2JF181474,Fremont,CA,Working
44999,25112,Long-Range,2018,5YJ3E1EBXJF115710,Maple Shade,NJ,Working
43995,21549,Long-Range,2019,5YJ3E1EA2KF326490,Pasadena,CA,Working
44999,19794,Long-Range,2018,5YJ3E1EB6JF113601,Jacksonville,FL,Working
52956,3291,Long-Range,2020,5YJ3E1EBXLF798026,Thomasville,GA,Working
43990,29646,Long-Range,2019,5YJ3E1EBXKF194555,Lansing,MI,Working
38900,34026,Long-Range,2017,5YJ3E1EA8HF002386,Scottsdale,AZ,Working
49999,22448,Long-Range,2018,5YJ3E1EB5JF182196,Rocklin,CA,Working
49800,19837,Long-Range,2018,5YJ3E1EB0JF077226,Minneapolis,MN,Working
46990,27611,Long-Range,2018,5YJ3E1EB2JF069581,Philadelphia,PA,Working
43999,35268,Long-Range,2019,5YJ3E1EB6KF359470,Tampa,FL,Working
47988,45128,Long-Range,2019,5YJ3E1EBXKF493270,Thomasville,GA,Working
42990,7150,Long-Range,2018,5YJ3E1EB7JF144324,San Antonio,TX,Working
49500,27500,Long-Range,2018,5YJ3E1EB0JF146724,Santa Barbara,CA,Working
42990,19521,Long-Range,2018,5YJ3E1EA8JF028251,Charlotte,NC,Working
40100,44163,Long-Range,2018,5YJ3E1EA0JF040796,Portland,OR,Working
53995,6315,Long-Range,2018,5YJ3E1EB8JF135843,Portland,OR,Working
39999,28807,Long-Range,2018,5YJ3E1EA4JF007090,Jacksonville,FL,Working
38480,27581,Long-Range,2018,5YJ3E1EA4JF018395,Riverside,CA,Working
46989,54100,Long-Range,2018,5YJ3E1EB3JF097857,Carrollton,TX,Working
51955,8918,Long-Range,2019,5YJ3E1EB5KF392105,San Jose,CA,Working
52888,7461,Long-Range,2020,5YJ3E1EB3LF784162,North Dartmouth,MA,Working
46999,29365,Long-Range,2018,5YJ3E1EB4JF132728,Trooper,PA,Working
47800,28782,Long-Range,2018,5YJ3E1EBXJF151316,Somerville,NJ,Working
47899,13810,Long-Range,2019,5YJ3E1EB0KF386468,San Antonio,TX,Working
49990,13328,Long-Range,2020,5YJ3E1EB7LF618808,Albany,NY,Working
47900,41116,Long-Range,2018,5YJ3E1EB7JF135641,New Castle,DE,Working
50990,15210,Long-Range,2020,5YJ3E1EB2LF663011,Oxnard,CA,Working
47490,8595,Long-Range,2018,5YJ3E1EA4JF053227,Naples,FL,Working
49995,25450,Long-Range,2018,5YJ3E1EB6JF088909,Mount Juliet,TN,Working
52900,13402,Long-Range,2020,5YJ3E1EB4LF744477,Jersey City,NJ,Working
51999,14846,Long-Range,2019,5YJ3E1EB4KF454545,Clifton,NJ,Working
40450,41949,Long-Range,2018,5YJ3E1EA2JF098277,Whittier,CA,Working
42950,23009,Long-Range,2018,5YJ3E1EA4JF026027,South San Francisco,CA,Working
48999,23108,Long-Range,2020,5YJ3E1EB5LF636238,San Antonio,TX,Working
46990,8700,Long-Range,2018,5YJ3E1EA4JF003167,Oxnard,CA,Working
44585,31932,Long-Range,2018,5YJ3E1EA4JF050599,Buford,GA,Working
43950,37318,Long-Range,2019,5YJ3E1EAXKF332974,Austin,TX,Working
56754,2715,Long-Range,2021,5YJ3E1EBXMF924869,Milwaukee,WI,Working
54000,4481,Long-Range,2020,5YJ3E1EBXLF791495,Leavenworth,KS,Working
49998,10439,Long-Range,2019,5YJ3E1EBXKF390611,Bellevue,WA,Working
42950,16531,Long-Range,2018,5YJ3E1EA0JF033864,South San Francisco,CA,Working
47973,43519,Long-Range,2018,5YJ3E1EB2JF105320,Castroville,TX,Working
51590,20514,Long-Range,2019,5YJ3E1EB5KF392041,Orlando,FL,Working
49997,28065,Long-Range,2018,5YJ3E1EB7JF144453,Saint Paul,MN,Working
47980,17717,Long-Range,2019,5YJ3E1EB5KF448317,San Francisco,CA,Working
49989,18620,Long-Range,2018,5YJ3E1EB6JF087498,Carrollton,TX,Working
51990,13068,Long-Range,2020,5YJ3E1EB7LF790630,Raleigh,NC,Working
54957,16417,Long-Range,2020,5YJ3E1EB9LF735936,Wood River,IL,Working
51995,31546,Long-Range,2020,5YJ3E1EB1LF648015,West Melbourne,FL,Working
55000,12395,Long-Range,2019,5YJ3E1EBXKF533329,Tulsa,OK,Working
42450,21727,Long-Range,2017,5YJ3E1EA6HF001690,Anaheim,CA,Working
54998,12005,Long-Range,2021,5YJ3E1EB3MF859069,Framingham,MA,Working
42444,31739,Long-Range,2018,5YJ3E1EA8JF010896,Oxnard,CA,Working
41950,33819,Long-Range,2018,5YJ3E1EA2JF041674,Whittier,CA,Working
47990,33309,Long-Range,2020,5YJ3E1EB5LF665058,Saint Louis,MO,Working
52990,8083,Long-Range,2020,5YJ3E1EB7LF628481,Atlanta,GA,Working
51500,19591,Long-Range,2019,5YJ3E1EB9KF195020,Brunswick,GA,Working
54995,22044,Long-Range,2019,5YJ3E1EB2KF213826,San Diego,CA,Working
47995,22793,Long-Range,2018,5YJ3E1EA6JF044013,Glendale,CA,Working
52599,18563,Long-Range,2020,5YJ3E1EB6LF621800,Jersey Village,TX,Working
40950,45535,Long-Range,2018,5YJ3E1EA0JF027045,South San Francisco,CA,Working
54927,14569,Long-Range,2019,5YJ3E1EB9KF194501,Brunswick,GA,Working
46700,37652,Long-Range,2018,5YJ3E1EAXJF035556,Clarksville,IN,Working
55998,7842,Long-Range,2021,5YJ3E1EB9MF924569,Fort Walton Beach,FL,Working
55995,9816,Long-Range,2019,5YJ3E1EB4KF511925,Utica,NY,Working
46431,35060,Long-Range,2018,5YJ3E1EA1JF035235,Wichita,KS,Working
52500,35877,Long-Range,2019,5YJ3E1EB8KF387867,Cerritos,CA,Working
54205,12800,Long-Range,2021,5YJ3E1EB7MF875825,Logan,UT,Working
50011,31634,Long-Range,2020,5YJ3E1EB8LF621538,Poway,CA,Working
49998,38678,Long-Range,2019,5YJ3E1EB1KF205507,Denver,CO,Working
53980,14475,Long-Range,2020,5YJ3E1EB6LF791493,Tampa,FL,Working
49975,35937,Long-Range,2019,5YJ3E1EB1KF211761,Buffalo Grove,IL,Working
53212,25000,Long-Range,2020,5YJ3E1EB6LF650844,Cayce,SC,Working
49950,20840,Long-Range,2018,5YJ3E1EBXJF063768,Murfreesboro,TN,Working
62994,672,Long-Range,2021,5YJ3E1EB4MF924902,Scottsdale,AZ,Working
53768,7571,Long-Range,2020,5YJ3E1EB3LF651644,Santa Monica,CA,Working
47968,26180,Long-Range,2019,5YJ3E1EB7KF433981,Coconut Creek,FL,Working
48900,23709,Long-Range,2019,5YJ3E1EBXKF208728,El Monte,CA,Working
55467,5690,Long-Range,2021,5YJ3E1EB5MF869019,San Diego,CA,Working
50444,9945,Long-Range,2020,5YJ3E1EB4LF636635,Oxnard,CA,Working
41999,40520,Long-Range,2018,5YJ3E1EA4JF045502,Oxnard,CA,Working
44950,22012,Long-Range,2018,5YJ3E1EA1JF017379,Seattle,WA,Working
46800,66782,Long-Range,2019,5YJ3E1EB6KF493931,Pittsburgh,PA,Working
52997,4967,Long-Range,2019,5YJ3E1EB6KF494836,Costa Mesa,CA,Working
53555,17606,Long-Range,2020,5YJ3E1EB4LF651880,Logan,UT,Working
