Price,Miles,Trim,Year,Vin,City,State,Link Status
89990,23802,Performance,2019,5YJSA1E48KF331291,Minneapolis,MN,Working
31590,82118,Performance,2012,5YJSA1DP6CFP03031,Tucson,AZ,Working
35709,54304,Performance,2013,5YJSA1DP5DFP18282,East Petersburg,PA,Working
85990,24118,Performance,2019,5YJSA1E4XKF300348,Charlotte,NC,Working
39722,35697,Performance,2013,5YJSA1DP0DFP09151,Augusta,GA,Working
87495,11610,Performance,2019,5YJSA1E40KF331902,Conshohocken,PA,Working
42999,20359,Performance,2013,5YJSA1DP2DFP28039,Roswell,GA,Working
94155,14534,Performance,2019,5YJSA1E43KF307531,Orlando,FL,Working
35977,70595,Performance,2013,5YJSA1DP6DFP08859,Carrollton,TX,Working
40990,13236,Performance,2013,5YJSA1DP3DFP20760,Raleigh,NC,Working
37958,54465,Performance,2013,5YJSA1CPXDFP08784,Dallas,TX,Working
36999,60229,Performance,2013,5YJSA1DP5DFP13616,Roswell,GA,Working
36999,72913,Performance,2013,5YJSA1CP3DFP27712,Dallas,TX,Working
31995,65993,Performance,2013,5YJSA1CP9DFP26158,Wall Township,NJ,Working
39995,45560,Performance,2013,5YJSA1DP5DFP04642,Wichita,KS,Working
30988,123908,Performance,2013,5YJSA1DG9DFP03848,Austin,TX,Working
36993,61993,Performance,2013,5YJSA1DP4DFP08858,Dallas,TX,Working
34999,57379,Performance,2013,5YJSA1DP3DFP20967,Roswell,GA,Working
35995,67605,Performance,2013,5YJSA1DP7DFP07882,Leesburg,VA,Working
37973,38220,Performance,2013,5YJSA1DN6DFP09900,Dallas,TX,Working
35999,65253,Performance,2013,5YJSA1CNXDFP19640,Dallas,TX,Working
36999,65309,Performance,2013,5YJSA1DPXDFP17483,Dallas,TX,Working
92981,16561,Performance,2020,5YJSA1E47LF378894,Libertyville,IL,Working
34900,89325,Performance,2013,5YJSA1CP4DFP05394,Carrollton,TX,Working
38753,61083,Performance,2013,5YJSA1CP0DFP07319,Pomona,CA,Working
38000,56640,Performance,2013,5YJSA1DP1DFP10566,Van Nuys,CA,Working
94927,17732,Performance,2020,5YJSA1E40LF358356,Portland,OR,Working
99999,13973,Performance,2021,5YJSA1E49MF418801,Des Plaines,IL,Working
36990,63313,Performance,2013,5YJSA1DP4DFP06513,Portland,OR,Working
26998,244835,Performance,2013,5YJSA1DN6DFP07385,Tampa,FL,Working
35989,108364,Performance,2013,5YJSA1CP1DFP16224,Berkeley Lake,GA,Working
99900,14783,Performance,2020,5YJSA1E47LF415653,Lincoln,NE,Working
34999,109591,Performance,2013,5YJSA1DP8DFP06434,Denver,CO,Working
41500,60233,Performance,2013,5YJSA1DP8DFP13187,Phoenix,AZ,Working
37990,83399,Performance,2013,5YJSA1CP9DFP25625,Fishers,IN,Working
95900,26915,Performance,2019,5YJSA1E43KF330372,Lincoln,NE,Working
31995,73218,Performance,2013,5YJSA1DP6DFP12734,Stafford,VA,Working
36499,65600,Performance,2013,5YJSA1CP4DFP13026,Norco,CA,Working
41000,19281,Performance,2013,5YJSA1DN4DFP22029,Mckinney,TX,Working
89888,19752,Performance,2020,5YJSA1E47LF362503,Egg Harbor Township,NJ,Working
37988,74122,Performance,2013,5YJSA1DP3DFP03330,Seattle,WA,Working
105900,23667,Performance,2020,5YJSA1E41LF389101,Lincoln,NE,Working
97900,21068,Performance,2020,5YJSA1E43LF380948,Lincoln,NE,Working
102900,11528,Performance,2020,5YJSA1E43LF360070,Lincoln,NE,Working
98989,10362,Performance,2020,5YJSA1E4XLF414965,Carrollton,TX,Working
88999,14588,Performance,2019,5YJSA1E44KF332096,Houston,TX,Working
27999,105027,Performance,2012,5YJSA1DP4CFP03139,Maple Shade,NJ,Working
34988,78972,Performance,2012,5YJSA1CPXCFP01879,Seattle,WA,Working
29991,108349,Performance,2013,5YJSA1DG9DFP14705,Austin,TX,Working
34998,80164,Performance,2013,5YJSA1DN5DFP27949,Blackwood,NJ,Working
36988,89845,Performance,2013,5YJSA1DP7DFP04156,Seattle,WA,Working
37977,54376,Performance,2013,5YJSA2CP1DFP16892,Carrollton,TX,Working
37995,54512,Performance,2013,5YJSA1DP0DFP14124,N/A,N/A,Working
98950,5672,Performance,2020,5YJSA1E47LF411280,N/A,N/A,Working
53999,44923,100D,2017,5YJSA1E22HF217326,Tampa,FL,Working
79590,22893,100D,2019,5YJSA1E24KF310369,Countryside,IL,Working
57500,57844,100D,2017,5YJSA1E28HF200899,Union City,GA,Working
