Price,Miles,Trim,Year,Vin,City,State,Link Status
62499,24336,75D,2017,5YJXCDE26HF052205,Tampa,FL,Working
58499,25869,75D,2017,5YJXCBE24HF067984,San Antonio,TX,Working
71988,15654,75D,2018,5YJXCDE23JF118005,Wilmington,NC,Working
77995,18329,75D,2019,5YJXCBE26KF160738,Saco,ME,Working
53987,96225,75D,2017,5YJXCBE28HF049746,Shakopee,MN,Working
55999,35940,75D,2016,5YJXCAE25GF010735,Jacksonville,FL,Working
52999,73891,75D,2016,5YJXCBE27GF022083,Trooper,PA,Working
53990,47359,75D,2016,5YJXCBE26GF025430,Denver,CO,Working
65999,33455,75D,2018,5YJXCAE20JF090002,Memphis,TN,Working
73000,29264,75D,2018,5YJXCDE2XJF123671,Scottsdale,AZ,Working
74500,27685,75D,2018,5YJXCDE29JF112919,Concord,NC,Working
60000,47952,75D,2017,5YJXCBE23HF051968,Lincoln,NE,Working
70994,19652,75D,2018,5YJXCBE24JF111178,Bellevue,WA,Working
59990,35431,75D,2016,5YJXCAE24GF016896,Naperville,IL,Working
72675,21918,75D,2018,5YJXCAE20JF112872,Dallas,TX,Working
64999,29340,75D,2017,5YJXCDE25HF051269,Memphis,TN,Working
62999,33796,75D,2016,5YJXCDE2XGF026558,Nixa,MO,Working
67999,49876,75D,2018,5YJXCDE2XJF099940,Birmingham,AL,Working
70989,44486,75D,2018,5YJXCDE23JF103214,Carrollton,TX,Working
74291,39995,75D,2018,5YJXCDE2XJF091143,Fort Lauderdale,FL,Working
66888,21416,75D,2017,5YJXCAE28HF062684,San Mateo,CA,Working
66977,38407,75D,2017,5YJXCDE26HF045674,Carrollton,TX,Working
63977,69681,75D,2017,5YJXCAE29HF035719,Carrollton,TX,Working
62999,45895,75D,2017,5YJXCDE21HF044609,Birmingham,AL,Working
70998,31751,75D,2018,5YJXCBE24JF099937,Westerly,RI,Working
76591,18726,75D,2018,5YJXCDE27JF089950,Carrollton,TX,Working
