Price,Miles,Trim,Year,Vin
259888,2637,Unspecified,2020,SBM13SAA4LW007945
250000,3959,Unspecified,2020,SBM13SAA9LW007780
221950,7212,Unspecified,2019,SBM13RAAXKW008413
246885,12799,Unspecified,2020,SBM13SAA3LW008178
229900,4661,Unspecified,2019,SBM13RAA7KW008465
249900,2014,Unspecified,2020,SBM13SAA8LW007978
249795,3109,Unspecified,2020,SBM13SAA0LW007960
229888,2912,Unspecified,2019,SBM13RAA2KW007563
234990,9500,Unspecified,2019,SBM13RAA9KW006698
242200,4259,Unspecified,2019,SBM13RAA3KW008303
259995,4942,Unspecified,2020,SBM13SAA6LW008420
249888,638,Unspecified,2019,SBM13RAA2KW006719
265000,3199,Unspecified,2019,SBM13RAA9KW008483
259990,4976,Unspecified,2020,SBM13SAA4LW008030
274900,893,Unspecified,2020,SBM13SAA9LW009089
259900,927,Unspecified,2019,SBM13RAA5KW007282
249888,3776,Unspecified,2019,SBM13RAA8KW006742
249996,2035,Unspecified,2019,SBM13RAA8KW006787
239991,3696,Unspecified,2019,SBM13RAA0KW006833
249996,6773,Unspecified,2019,SBM13RAA6KW006741
249555,11155,Unspecified,2019,SBM13RAA2KW008485
269888,933,Unspecified,2019,SBM13RAA5KW008481
260000,3425,Unspecified,2020,SBM13SAA2LW007815
249991,3221,Unspecified,2019,SBM13RAA0KW006511
229995,4557,Unspecified,2019,SBM13RAA0KW006718
239900,7567,Unspecified,2019,SBM13RAAXKW007407
259900,965,Unspecified,2019,SBM13RAA3KW008480
245000,457,Unspecified,2019,SBM13RAA6KW008134
