Price,Miles,Trim,Year,Vin
25000,50519,Carrera,2001,WP0CA29911S652039
20788,88650,Carrera,2000,WP0CA2996YS654671
91995,7862,Carrera,2018,WP0AA2A90JS105783
95000,14024,Carrera,2018,WP0AA2A91JS105887
109994,2276,Carrera,2020,WP0AA2A9XLS206445
99990,3156,Carrera,2019,WP0AA2A92KS103356
78898,36745,Carrera,2016,WP0AA2A94GS106234
32995,87102,Carrera,2005,WP0AA29925S716702
92950,13809,Carrera,2018,WP0AA2A98JS105191
38899,74589,Carrera,2007,WP0AA29927S711440
68995,38996,Carrera,2015,WP0AA2A92FS106702
24424,89181,Carrera,2003,WP0AA29903S622072
93991,18724,Carrera,2018,WP0AA2A98JS105871
23998,147821,Carrera,2004,WP0AA29904S622204
99991,5092,Carrera,2018,WP0AA2A96JS106453
96950,4160,Carrera,2017,WP0AA2A99HS107252
25900,103802,Carrera,2005,WP0AA29905S715466
25992,73898,Carrera,2000,WP0AA299XYS622393
65113,36705,Carrera,2014,WP0AA2A95ES106062
124991,3810,Carrera,2020,WP0AA2A9XLS206221
99486,7841,Carrera,2018,WP0AA2A94JS105298
75995,19310,Carrera,2014,WP0AA2A99ES107831
28990,60551,Carrera,2004,WP0CA29924S651311
23791,96349,Carrera,2004,WP0CA29954S650637
141950,4896,Carrera,2019,WP0AB2A99KS115615
104900,7669,Carrera,2019,WP0AA2A93KS104290
64995,53957,Carrera,2015,WP0AA2A91FS106898
35999,41862,Carrera,2004,WP0AA29914S620395
121599,2315,Carrera,2021,WP0AA2A96MS205178
22998,113307,Carrera,2003,WP0CA29943S650353
79950,71229,Carrera,1995,WP0AA2997SS321989
114898,9429,Carrera,2020,WP0AA2A99LS206033
25000,48310,Carrera,2002,WP0CA29992S655093
47000,32651,Carrera,2008,WP0AA299X8S710781
33991,98041,Carrera,2005,WP0AA29945S716085
98991,6154,Carrera,2017,WP0AA2A96HS107211
94900,5346,Carrera,2018,WP0AA2A9XJS105791
125480,2687,Carrera,2020,WP0AA2A90LS206325
85994,29018,Carrera,2017,WP0AA2A98HS107890
97968,17893,Carrera,2019,WP0AA2A98KS103524
95900,22982,Carrera,2018,WP0AA2A9XJS105497
19988,113633,Carrera,2001,WP0CA29971S651378
109955,1969,Carrera,2020,WP0AA2A93LS205198
119992,7613,Carrera,2020,WP0AA2A92LS205662
67950,36865,Carrera,2014,WP0AA2A93ES106111
128390,5077,Carrera,2021,WP0AA2A92MS205310
39998,55913,Carrera,2005,WP0AA29925S716005
39850,22861,Carrera,2000,WP0AA2991YS622573
28850,46053,Carrera,2002,WP0CA29962S652510
25000,50519,Carrera,2001,WP0CA29911S652039
118640,11995,Carrera,2021,WP0AA2A94MS205809
145900,4743,Carrera,2021,WP0CA2A93MS239135
59995,38337,Carrera,2011,WP0AA2A94BS706471
29995,110850,Carrera,2006,WP0AA29956S717358
27617,79803,Carrera,2003,WP0AA29913S620153
101999,11600,Carrera,2019,WP0AA2A94KS103441
118995,34041,Carrera,2018,WP0AB2A96JS122889
99985,14616,Carrera,2017,WP0AA2A94HS108051
89800,23736,Carrera,2019,WP0AA2A95KS104310
109990,857,Carrera,2021,WP0AA2A93MS205770
36500,76561,Carrera,2000,WP0AA2999YS620246
43356,51413,Carrera,2004,WP0CA29974S653815
94900,13295,Carrera,2017,WP0AA2A94HS107207
30900,63951,Carrera,2001,WP0AA29981S622561
46900,52629,Carrera,2003,WP0AA29903S622007
108788,14785,Carrera,2019,WP0AA2A9XKS104206
35952,60618,Carrera,2006,WP0CA29966S756324
59998,33812,Carrera,2009,WP0AA29969S706552
106999,488,Carrera,2019,WP0AA2A92KS103132
145000,6074,Carrera,2019,WP0AB2A97KS114933
127995,5222,Carrera,2020,WP0AA2A92LS205886
97991,26406,Carrera,2017,WP0AA2A98HS107579
78990,59950,Carrera,2017,WP0AA2A9XHS108023
89999,22991,Carrera,2017,WP0AA2A96HS107239
94998,21659,Carrera,2019,WP0AA2A93KS103589
30988,59322,Carrera,1999,WP0AA299XXS623977
18950,103606,Carrera,2001,WP0CA29931S654892
29498,60956,Carrera,2002,WP0AA29922S622542
96000,21119,Carrera,1998,WP0CA2996WS340578
69998,54400,Carrera,1995,WP0CA2995SS340940
126404,9050,Carrera,2020,WP0AA2A92LS206312
77000,34297,Carrera,2014,WP0CA2A92ES140274
31995,51026,Carrera,2001,WP0CA29971S652367
129899,2833,Carrera,2020,WP0AA2A9XLS205277
79900,27617,Carrera,1989,WP0EB0919KS171171
85900,29728,Carrera,2017,WP0AA2A97HS106343
34632,75131,Carrera,2005,WP0CA29985S755819
62000,53122,Carrera,2012,WP0AA2A98CS106635
59995,29644,Carrera,2009,WP0AA29979S706432
95831,44062,Carrera,2019,WP0AA2A93KS103267
75000,24333,Carrera,2014,WP0AA2A90ES107779
134994,9614,Carrera,2019,WP0AB2A92KS114712
79995,2854,Carrera,2014,WP0AA2A9XES107000
49997,50101,Carrera,2005,WP0AA29975S716839
95355,28738,Carrera,2019,WP0CA2A9XKS129163
99998,6665,Carrera,2017,WP0AA2A97HS107492
180000,90865,Carrera,1984,WP0AB0912ES120484
119980,800,Carrera,2020,WP0AA2A92LS205516
103900,4351,Carrera,2019,WP0AA2A97KS103627
169900,4155,Carrera,2016,WP0AB2A90GS123027
59900,57441,Carrera,2013,WP0AA2A99DS107441
25900,85953,Carrera,2002,WP0CA29972S650796
104900,14103,Carrera,2018,WP0CA2A9XJS138525
64900,35422,Carrera,2013,WP0AA2A95DS107128
45000,75000,Carrera,2005,WP0AA29995S715921
26995,80517,Carrera,2001,WP0CA29941S650463
110995,15536,Carrera,2015,WP0AB2A90FS125777
67777,37627,Carrera,2012,WP0CA2A96CS140310
58226,35589,Carrera,2009,WP0CA29949S740594
29888,70843,Carrera,1999,WP0AA2999XS625140
95900,27858,Carrera,2015,WP0CB2A92FS155078
69999,21767,Carrera,2013,WP0CA2A98DS141444
97714,26784,Carrera,2018,WP0AA2A91JS105775
89898,9892,Carrera,2014,WP0AA2A92ES107668
159995,5943,Carrera,2019,WP0CB2A90KS136152
47500,54000,Carrera,2006,WP0CA29926S756823
79900,3874,Carrera,2015,WP0AA2A95FS106757
85000,17785,Carrera,1998,WP0CA2990WS340527
105900,7732,Carrera,2017,WP0CA2A98HS142714
33491,39890,Carrera,2004,WP0AA29944S621735
79850,17565,Carrera,2013,WP0AA2A97DS106868
64888,40974,Carrera,2013,WP0AA2A98DS107382
109999,18112,Carrera,2015,WP0AB2A91FS124573
65900,63935,Carrera,2012,WP0AA2A95CS788101
48900,29231,Carrera,2006,WP0AA29916S717034
41995,36597,Carrera,2007,WP0CA299X7S765612
147991,1434,Carrera,2021,WP0AA2A99MS206325
86995,19070,Carrera,2013,WP0CB2A9XDS156170
89000,28893,Carrera,2017,WP0AA2A95HS107054
92995,22534,Carrera,2017,WP0CA2A94HS141088
22991,115590,Carrera,1999,WP0AA2999XS621539
43995,74829,Carrera,2008,WP0CA29918S765757
119999,19917,Carrera,2016,WP0AB2A95GS122293
229911,5124,Carrera,1989,WP0EB0917KS173128
39995,83642,Carrera,2005,WP0AA29985S716977
69999,25677,Carrera,2015,WP0AA2A96FS100188
74990,26026,Carrera,2014,WP0AA2A98ES107352
35997,67361,Carrera,2002,WP0AA29932S621304
92911,30510,Carrera,2017,WP0CA2A90HS142447
109950,12279,Carrera,2018,WP0AA2A97JS105196
79740,26898,Carrera,2015,WP0CA2A97FS137078
29990,61628,Carrera,2001,WP0CA29961S650173
45500,59983,Carrera,2005,WP0AA29905S717024
134995,4447,Carrera,2020,WP0AA2A98LS205438
54995,21497,Carrera,2008,WP0CA29948S765851
149995,2084,Carrera,2019,WP0AB2A98KS115704
147900,11637,Carrera,2019,WP0AB2A95KS114753
137900,933,Carrera,2021,WP0CA2A91MS239361
25950,65633,Carrera,2001,WP0CA29921S654155
79900,22664,Carrera,1995,WP0CA2998SS341533
99000,7746,Carrera,2017,WP0CA2A90HS141816
53850,53533,Carrera,1997,WP0CA299XVS340632
125830,4462,Carrera,2020,WP0CA2A96LS251777
29950,67079,Carrera,2001,WP0CA29901S651514
55500,82212,Carrera,1988,WP0EB0919JS170696
123900,40000,Carrera,2018,WP0AB2A91JS122556
49995,15710,Carrera,2005,WP0AA29935S715901
42118,45770,Carrera,2005,WP0CA29995S755375
71950,36756,Carrera,2015,WP0AA2A9XFS100159
29981,53033,Carrera,2003,WP0CA299X3S652639
100000,29661,Carrera,2017,WP0CA2A91HS142098
114175,28950,Carrera,2015,WP0CB2A9XFS155264
89998,46534,Carrera,1996,WP0AA2992TS322775
129799,12787,Carrera,2019,WP0AB2A90KS114319
128990,9041,Carrera,2021,WP0AA2A90MS205466
29200,52131,Carrera,2001,WP0CA29941S653802
93900,13205,Carrera,2017,WP0AA2A90HS106720
98887,27175,Carrera,2019,WP0AA2A91KS103509
44500,67197,Carrera,2008,WP0CA29968S765396
75997,37711,Carrera,2015,WP0AA2A99FS106504
94990,26194,Carrera,2017,WP0AA2A9XHS106496
103999,8510,Carrera,2017,WP0AA2A99HS107414
47000,31863,Carrera,2006,WP0CA29926S756434
38999,44847,Carrera,2003,WP0AA29983S622224
38999,44847,Carrera,2003,WP0AA29983S622224
102980,9344,Carrera,2018,WP0AA2A94JS105494
45950,40240,Carrera,2006,WP0CA29946S755270
108900,1055,Carrera,2017,WP0CA2A9XHS141869
105991,28183,Carrera,2019,WP0CA2A93KS129182
79881,29606,Carrera,2014,WP0AA2A9XES107742
145000,1382,Carrera,2021,WP0CA2A99MS239401
72900,31839,Carrera,2014,WP0AA2A92ES107377
49315,40242,Carrera,2005,WP0AA29995S716941
109991,18459,Carrera,2015,WP0AB2A90FS124516
53000,32958,Carrera,2005,WP0AA29935S717065
51900,48975,Carrera,2003,WP0AA29943S620423
105000,8200,Carrera,2018,WP0AA2A9XJS105659
38991,71252,Carrera,2007,WP0AA299X7S710133
89995,29824,Carrera,2012,WP0AB2A99CS720848
90000,43722,Carrera,2018,WP0CA2A95JS138304
35990,36633,Carrera,2002,WP0CA29992S651125
25995,64894,Carrera,1999,WP0CA2991XS652289
179979,14236,Carrera,1989,WP0EB0914KS173216
79991,55558,Carrera,2017,WP0CA2A94HS142032
144900,8188,Carrera,2018,WP0CB2A90JS147151
25900,65999,Carrera,2002,WP0CA29932S654179
121000,3288,Carrera,2021,WP0AA2A92MS205159
93999,14273,Carrera,2019,WP0AA2A92KS103552
98991,29493,Carrera,2017,WP0CA2A92HS141381
