Price,Miles,Trim,Year,Vin
39800,37112,Long-Range,2018,5YJ3E1EB6JF145464
38995,26756,Long-Range,2018,5YJ3E1EA9JF004864
43300,15035,Long-Range,2018,5YJ3E1EB4JF108509
42900,23709,Long-Range,2019,5YJ3E1EBXKF208728
43799,15244,Long-Range,2018,5YJ3E1EB9JF074955
45995,8010,Long-Range,2019,5YJ3E1EB4KF414935
39590,40296,Long-Range,2018,5YJ3E1EB9JF067679
38685,47457,Long-Range,2018,5YJ3E1EB6JF170350
42688,20128,Long-Range,2018,5YJ3E1EBXJF184333
35990,43147,Long-Range,2018,5YJ3E1EAXJF013749
39068,42394,Long-Range,2018,5YJ3E1EB2JF093007
39980,16199,Long-Range,2019,5YJ3E1EA8KF313548
42990,28855,Long-Range,2018,5YJ3E1EB4JF116741
42995,24574,Long-Range,2018,5YJ3E1EB0JF134119
36950,31264,Long-Range,2018,5YJ3E1EA4JF017165
38980,31297,Long-Range,2018,5YJ3E1EB0JF114386
39899,16196,Long-Range,2019,5YJ3E1EAXKF314443
39888,43227,Long-Range,2018,5YJ3E1EB2JF091984
42990,22098,Long-Range,2018,5YJ3E1EB5JF119955
37999,25404,Long-Range,2018,5YJ3E1EA5JF098516
35600,46999,Long-Range,2018,5YJ3E1EA1JF022274
43899,26632,Long-Range,2020,5YJ3E1EB0LF619914
47985,3923,Long-Range,2020,5YJ3E1EBXLF801457
43995,32907,Long-Range,2019,5YJ3E1EB7KF192021
33999,67249,Long-Range,2018,5YJ3E1EA1JF007967
33999,52160,Long-Range,2017,5YJ3E1EA1HF000642
43780,11979,Long-Range,2019,5YJ3E1EAXKF299927
47835,9643,Long-Range,2020,5YJ3E1EB9LF638882
38995,26756,Long-Range,2018,5YJ3E1EA9JF004864
44695,21744,Long-Range,2018,5YJ3E1EB3JF116181
40980,20257,Long-Range,2018,5YJ3E1EB4JF185770
40100,16348,Long-Range,2019,5YJ3E1EA5KF313569
40999,39317,Long-Range,2019,5YJ3E1EA7KF314609
46990,10183,Long-Range,2019,5YJ3E1EB2KF454186
43300,15035,Long-Range,2018,5YJ3E1EB4JF108509
37990,28076,Long-Range,2018,5YJ3E1EA9JF047438
42995,39757,Long-Range,2018,5YJ3E1EB1JF097114
42785,21958,Long-Range,2018,5YJ3E1EA8JF037001
37980,45527,Long-Range,2019,5YJ3E1EBXKF193910
46000,20437,Long-Range,2019,5YJ3E1EB0KF208950
39900,17006,Long-Range,2019,5YJ3E1EAXKF324275
46995,21494,Long-Range,2018,5YJ3E1EB4JF131191
42995,39473,Long-Range,2018,5YJ3E1EB4JF100345
45988,12107,Long-Range,2019,5YJ3E1EB4KF477274
46788,27496,Long-Range,2018,5YJ3E1EB1JF184673
48995,8900,Long-Range,2019,5YJ3E1EB1KF195724
44198,33237,Long-Range,2019,5YJ3E1EB3KF510393
42750,23608,Long-Range,2018,5YJ3E1EB2JF090379
43999,12194,Long-Range,2019,5YJ3E1EA0KF325130
41950,22436,Long-Range,2019,5YJ3E1EB1KF384776
49996,19466,Long-Range,2019,5YJ3E1EB5KF359573
35899,40857,Long-Range,2018,5YJ3E1EA3JF035740
49885,1705,Long-Range,2018,5YJ3E1EBXJF106392
35950,44371,Long-Range,2018,5YJ3E1EA4JF043247
36650,39655,Long-Range,2018,5YJ3E1EA4JF012578
47995,18436,Long-Range,2018,5YJ3E1EB7JF072170
42990,51831,Long-Range,2018,5YJ3E1EB7JF128527
43298,8659,Long-Range,2017,5YJ3E1EA3HF003560
38989,60723,Long-Range,2018,5YJ3E1EA7JF003406
49990,7220,Long-Range,2019,5YJ3E1EB3KF389557
45990,5683,Long-Range,2020,5YJ3E1EB9LF666133
44888,21337,Long-Range,2018,5YJ3E1EA3JF003225
38500,42862,Long-Range,2018,5YJ3E1EA4JF157054
48980,10376,Long-Range,2019,5YJ3E1EB7KF434631
47998,11008,Long-Range,2020,5YJ3E1EB5LF639625
