Price,Miles,Trim,Year,Vin
32995,69069,Performance,2012,5YJSA1DP9CFP02732
87450,13765,Performance,2019,5YJSA1E48KF312188
34590,50833,Performance,2013,5YJSA1CN1DFP09756
32400,48472,Performance,2013,5YJSA1DN6DFP25787
32990,62588,Performance,2013,5YJSA1DP8DFP06269
28995,93185,Performance,2013,5YJSA1CP4DFP24446
28999,68563,Performance,2013,5YJSA1DN5DFP08849
38988,9578,Performance,2013,5YJSA1CP3DFP07119
33300,69968,Performance,2013,5YJSA1CP6DFP25596
32995,64342,Performance,2013,5YJSA1DP7DFP07882
38995,45892,Performance,2013,5YJSA1CP1DFP21424
31995,85504,Performance,2013,5YJSA1DP6DFP18033
32500,86798,Performance,2013,5YJSA1DP2DFP04632
28995,86676,Performance,2013,5YJSA1DP6DFP15729
34950,37517,Performance,2013,5YJSA1DP8DFP12685
32990,60547,Performance,2013,5YJSA1CP8DFP22635
28985,72613,Performance,2013,5YJSA1DP3DFP06258
39990,42310,Performance,2013,5YJSA1CP1DFP26803
32997,93253,Performance,2013,5YJSA1CP4DFP19781
36880,42570,Performance,2013,5YJSA1DP7DFP05629
33900,64815,Performance,2013,5YJSA1DP4DFP28012
35500,48451,Performance,2013,5YJSA1DP8DFP05638
24999,105027,Performance,2012,5YJSA1DP4CFP03139
30947,87211,Performance,2013,5YJSA1DP9DFP17717
33990,65928,Performance,2013,5YJSA1CP9DFP21428
35995,70737,Performance,2013,5YJSA1DPXDFP19606
29950,69498,Performance,2012,5YJSA1DP4CFP03187
36990,67551,Performance,2013,5YJSA1DP8DFP17806
38900,29622,Performance,2013,5YJSA1DP3DFP21830
34980,53876,Performance,2013,5YJSA1CP5DFP21586
34995,83131,Performance,2013,5YJSA1CP0DFP08583
31991,58567,Performance,2013,5YJSA1DG0DFP07593
33930,67553,Performance,2013,5YJSA1DP2DFP11774
29777,104155,Performance,2013,5YJSA1CP7DFP17331
110467,18675,Performance,2019,5YJSA1E46KF332777
44988,5483,Performance,2013,5YJSA1DP9DFP06863
29990,88200,Performance,2013,5YJSA1DN7DFP04527
30500,85802,Performance,2013,5YJSA1DP7DFP05890
99900,14783,Performance,2020,5YJSA1E47LF415653
32995,73218,Performance,2013,5YJSA1DP6DFP12734
36990,71761,Performance,2013,5YJSA1DP0DFP07013
91991,7551,Performance,2020,5YJSA1E41LF413784
99900,11415,Performance,2020,5YJSA1E40LF365405
94699,12604,Performance,2019,5YJSA1E44KF337301
34999,52159,Performance,2013,5YJSA1CP8DFP26801
99989,10078,Performance,2020,5YJSA1E4XLF414965
36999,33559,Performance,2013,5YJSA1DP8DFP27722
36499,65499,Performance,2013,5YJSA1CP4DFP13026
91900,15177,Performance,2019,5YJSA1E40KF331253
93888,13086,Performance,2020,5YJSA1E44LF364189
33650,76872,Performance,2013,5YJSA1CP9DFP27780
36000,72920,Performance,2013,5YJSA1DP5DFP11736
89995,17999,Performance,2020,5YJSA1E4XLF378792
39995,54512,Performance,2013,5YJSA1DP0DFP14124
51987,41761,75D,2018,5YJSA1E2XJF253402
51000,36904,75D,2017,5YJSA1E22HF193075
55980,19059,75D,2018,5YJSA1E20JF280947
54940,15106,75D,2018,5YJSA1E20JF261699
54880,24504,75D,2018,5YJSA1E29JF246117
54999,28976,75D,2018,5YJSA1E25JF249161
53996,23961,75D,2017,5YJSA1E23HF202480
43999,47681,75D,2016,5YJSA1E28GF159480
54989,26465,75D,2018,5YJSA1E22JF250106
51999,34887,75D,2017,5YJSA1E20HF213842
56900,22700,75D,2018,5YJSA1E24JF293670
52898,30692,75D,2018,5YJSA1E24JF281535
43999,32825,75D,2016,5YJSA1E22GF156784
49990,20448,75D,2018,5YJSA1E24JF280871
53900,15285,75D,2017,5YJSA1E27HF193539
69990,22422,75D,2019,5YJSA1E27KF305215
51980,43526,75D,2017,5YJSA1E24HF200382
51990,24160,75D,2016,5YJSA1E29GF154918
57989,41749,75D,2018,5YJSA1E2XJF248104
54990,43504,75D,2018,5YJSA1E26JF246947
54990,32407,75D,2018,5YJSA1E21JF247200
52888,24547,75D,2017,5YJSA1E20HF178820
52900,24753,75D,2018,5YJSA1E26JF293718
51996,25161,75D,2018,5YJSA1E28JF280954
53989,43725,75D,2017,5YJSA1E23HF187849
41989,87900,75D,2016,5YJSA1E25GF153362
54898,32454,75D,2018,5YJSA1E20JF281726
56977,17679,75D,2018,5YJSA1E29JF291848
44899,47856,75D,2016,5YJSA1E2XGF158346
50977,32840,75D,2018,5YJSA1E28JF300071
49950,76190,75D,2017,5YJSA1E23HF215245
49990,52730,75D,2016,5YJSA1E29GF168849
58995,34791,75D,2018,5YJSA1E2XJF249138
83995,8059,75D,2019,5YJSA1E25KF344739
45900,49625,75D,2017,5YJSA1E23HF186023
48994,43178,75D,2016,5YJSA1E2XGF148254
54995,20996,75D,2016,5YJSA1E2XGF138422
56490,18240,75D,2018,5YJSA1E2XJF245008
55900,33177,75D,2018,5YJSA1E22JF281842
48975,50596,75D,2016,5YJSA1E27GF158935
49999,32446,75D,2018,5YJSA1E27JF293811
42999,41101,75D,2017,5YJSA1E28HF214544
49989,46520,75D,2016,5YJSA1E22GF172029
52949,26624,75D,2018,5YJSA1E24JF248776
48999,29296,75D,2017,5YJSA1E20HF190420
42895,53418,75D,2016,5YJSA1E23GF159371
66996,20430,100D,2018,5YJSA1E21JF249447
62596,19972,100D,2017,5YJSA1E20HF217048
56950,56867,100D,2017,5YJSA1E22HF204303
56999,43268,100D,2017,5YJSA1E28HF199432
60989,35527,100D,2017,5YJSA1E25HF229017
55999,72150,100D,2017,5YJSA1E27HF215345
58919,32030,100D,2017,5YJSA1E24HF187777
62995,22100,100D,2018,5YJSA1E20JF300078
58990,20920,100D,2017,5YJSA1E29HF204802
54980,58207,100D,2018,5YJSA1E23JF248025
67500,15385,100D,2018,5YJSA1E24JF266453
69990,15544,100D,2018,5YJSA1E25JF268387
59989,58539,100D,2017,5YJSA1E28HF200269
69990,23242,100D,2017,5YJSA1E23HF188533
61995,30895,100D,2017,5YJSA1E20HF201559
54999,59518,100D,2017,5YJSA1E29HF202452
55588,54682,100D,2017,5YJSA1E26HF189983
64989,37703,100D,2017,5YJSA1E24HF185172
61995,30800,100D,2017,5YJSA1E25HF219300
63995,32740,100D,2017,5YJSA1E25HF204392
61989,38930,100D,2017,5YJSA1E29HF220935
62999,34736,100D,2018,5YJSA1E20JF245163
63900,31091,100D,2017,5YJSA1E29HF216710
62999,32997,100D,2017,5YJSA1E27HF220884
65989,44894,100D,2018,5YJSA1E2XJF239810
61997,27068,100D,2017,5YJSA1E2XHF217249
59989,80369,100D,2018,5YJSA1E25JF248155
64989,39911,100D,2017,5YJSA1E26HF229690
79950,22893,100D,2019,5YJSA1E24KF310369
52480,29960,100D,2017,5YJSA1E23HF222275
65988,28468,100D,2017,5YJSA1E27HF227589
69989,33690,100D,2018,5YJSA1E21JF249688
62590,60827,100D,2018,5YJSA1E26JF243546
64977,41723,100D,2018,5YJSA1E28JF246464
58990,50314,100D,2017,5YJSA1E21HF229581
70000,24627,100D,2017,5YJSA1E2XHF230941
70000,27259,100D,2017,5YJSA1E20HF224498
61500,66968,100D,2017,5YJSA1E29HF195342
68950,14605,100D,2018,5YJSA1E29JF280686
