Price,Miles,Trim,Year,Vin
82800,12309,Base,2019,WBSJF0C50KB447759
84900,10412,Base,2019,WBSJF0C53KB447268
79898,7996,Base,2018,WBSJF0C52JB283655
72888,43899,Base,2018,WBSJF0C58JB282168
87486,7393,Base,2019,WBSJF0C53KB284458
87995,11951,Base,2019,WBSJF0C57KB285242
81673,19640,Base,2018,WBSJF0C50JB283766
88992,8937,Base,2018,WBSJF0C57JB282601
77490,28364,Base,2018,WBSJF0C52JB282148
76998,20498,Base,2018,WBSJF0C51JB283081
80087,23412,Base,2018,WBSJF0C57JB282694
86500,24210,Base,2019,WBSJF0C59KB447923
76999,49288,Base,2018,WBSJF0C52JB282036
83609,16900,Base,2018,WBSJF0C52JB282103
108495,3388,Base,2021,WBS83CH01MCF68810
83677,31622,Base,2019,WBSJF0C50KB285339
92500,16299,Base,2019,WBSJF0C5XKB447915
96998,12810,Base,2019,WBSJF0C51KB284149
83900,29513,Base,2019,WBSJF0C50KB284529
81299,11124,Base,2018,WBSJF0C53JB282806
83980,39802,Base,2019,WBSJF0C51KB284894
88000,14114,Base,2019,WBSJF0C50KB447244
84966,35835,Base,2018,WBSJF0C51JB282674
85990,19867,Base,2018,WBSJF0C50JB283203
89995,14132,Base,2019,WBSJF0C56KB284292
88500,21895,Base,2018,WBSJF0C58JB282025
86983,31377,Base,2019,WBSJF0C55KB447840
99800,14971,Base,2019,WBSJF0C58KB285329
86987,26191,Base,2018,WBSJF0C56JB283769
89900,30546,Base,2019,WBSJF0C56KB285684
89990,13344,Base,2019,WBSJF0C55KB284316
87480,17658,Base,2018,WBSJF0C51JB282349
79910,33007,Base,2018,WBSJF0C56JB282721
83500,29659,Base,2018,WBSJF0C50JB283962
81994,37194,Base,2018,WBSJF0C54JB282751
84888,17622,Base,2018,WBSJF0C57JB282923
94385,17234,Base,2019,WBSJF0C51KB448354
109000,2700,Base,2019,WBSJF0C58KB284214
85219,10839,Base,2018,WBSJF0C58JB282333
92991,9531,Base,2019,WBSJF0C55KB448373
108497,1005,Base,2021,WBS83CH04MCE91110
86981,26375,Base,2018,WBSJF0C54JB282197
80494,36364,Base,2018,WBSJF0C5XJB282107
94989,14713,Competition,2019,WBSJF0C50KB448166
97531,4424,Competition,2020,WBSJF0C01LCE38801
103895,4210,Competition,2020,WBSJF0C02LCE45353
83991,33836,Competition,2019,WBSJF0C5XKB285736
96777,16940,Competition,2019,WBSJF0C57KB448732
91559,4975,Competition,2019,WBSJF0C55KB448258
89998,12369,Competition,2019,WBSJF0C51KB447320
97972,10598,Competition,2020,WBSJF0C0XLCE23617
91991,14729,Competition,2019,WBSJF0C53KB448243
118677,1762,Competition,2021,WBS83CH07MCF86342
89995,27395,Competition,2019,WBSJF0C56KB284986
95898,15518,Competition,2020,WBSJF0C02LCE29069
91995,20950,Competition,2019,WBSJF0C51KB284684
104983,3814,Competition,2020,WBSJF0C09LCE12219
90991,24617,Competition,2019,WBSJF0C52KB284709
105900,5319,Competition,2020,WBSJF0C04LCD56920
91400,19511,Competition,2020,WBSJF0C09LCD30846
91487,26527,Competition,2019,WBSJF0C50KB284434
101900,9650,Competition,2019,WBSJF0C58KB447069
92999,17326,Competition,2019,WBSJF0C56KB446678
104800,8399,Competition,2019,WBSJF0C55KB285790
94997,20774,Competition,2019,WBSJF0C52KB285908
106989,12716,Competition,2019,WBSJF0C57KB284494
99888,14039,Competition,2019,WBSJF0C52KB285553
119979,1120,Competition,2021,WBS83CH01MCF74090
97993,10733,Competition,2019,WBSJF0C57KB446642
99900,12001,Competition,2019,WBSJF0C57KB446625
96622,21625,Competition,2020,WBSJF0C06LB448825
87672,27997,Competition,2019,WBSJF0C5XKB446800
88995,3178,Unspecified,2020,WBSJF0C08LCD79925
77550,21416,Unspecified,2018,WBSJF0C53JB281977
79991,27609,Unspecified,2018,WBSJF0C58JB282042
39975,26134,Unspecified,2013,WBSFV9C52DC772651
74998,39572,Unspecified,2018,WBSJF0C5XJB281975
84691,14919,Unspecified,2019,WBSJF0C54KB447246
20999,111473,Unspecified,2001,WBSDE93421BZ99578
97888,5693,Unspecified,2020,WBSJF0C01LCD44014
38957,79452,Unspecified,2015,WBSFV9C59FD595285
82900,6914,Unspecified,2018,WBSJF0C57JB283523
50999,38513,Unspecified,2016,WBSFV9C54GG343525
83698,22819,Unspecified,2019,WBSJF0C57KB446804
91495,5305,Unspecified,2019,WBSJF0C5XKB448112
45867,54543,Unspecified,2016,WBSFV9C56GD595715
31799,71000,Unspecified,2013,WBSFV9C52DD097040
79900,25469,Unspecified,2018,WBSJF0C55JB282323
99495,2195,Unspecified,2020,WBSJF0C00LCD66425
26500,116033,Unspecified,2013,WBSFV9C57DC773519
23995,109295,Unspecified,2001,WBSDE934X1BZ97366
20995,63253,Unspecified,2006,WBSNB93536B584623
79798,23929,Unspecified,2018,WBSJF0C52JB282182
80995,14968,Unspecified,2018,WBSJF0C55JB282774
77999,24262,Unspecified,2018,WBSJF0C58JB282560
29990,141555,Unspecified,2003,WBSDE93413CF92318
80998,26190,Unspecified,2018,WBSJF0C51JB283498
96223,9974,Unspecified,2020,WBSJF0C04LB448967
16969,92916,Unspecified,2006,WBSNB935X6B582657
89995,29665,Unspecified,2018,WBSJF0C55JB282404
41991,46976,Unspecified,2014,WBSFV9C58ED593817
36694,46774,Unspecified,2013,WBSFV9C58DD096720
98995,12153,Unspecified,2020,WBSJF0C04LCD95829
15491,78562,Unspecified,2006,WBSNB93546B583576
30995,74054,Unspecified,2013,WBSFV9C5XDC772655
14995,123426,Unspecified,2008,WBSNB93528CX10483
94777,10563,Unspecified,2020,WBSJF0C0XLCD32007
84421,19610,Unspecified,2019,WBSJF0C57KB285032
34998,61971,Unspecified,2013,WBSFV9C5XDC773627
98450,8552,Unspecified,2020,WBSJF0C06LCD55641
104450,3822,Unspecified,2020,WBSJF0C07LCD21935
39990,50088,Unspecified,2014,WBSFV9C57ED592951
99998,10200,Unspecified,2020,WBSJF0C00LCE16921
35990,57156,Unspecified,2013,WBSFV9C52DC773914
87995,6969,Unspecified,2019,WBSJF0C52KB284306
51000,41927,Unspecified,2016,WBSFV9C52GD595663
16991,116905,Unspecified,2007,WBSNB93537CX06795
85285,15273,Unspecified,2018,WBSJF0C50JB282049
48880,45186,Unspecified,2015,WBSFV9C5XFD595408
18950,107658,Unspecified,2006,WBSNB93586B582995
94500,14605,Unspecified,2019,WBSJF0C57KB447354
78859,24208,Unspecified,2018,WBSJF0C54JB283107
86980,23245,Unspecified,2018,WBSJF0C58JB282574
88961,10711,Unspecified,2018,WBSJF0C50JB282097
39995,50473,Unspecified,2013,WBSFV9C50DC773653
34499,72486,Unspecified,2013,WBSFV9C57DD096742
49999,41869,Unspecified,2016,WBSFV9C58GG343107
77571,36448,Unspecified,2018,WBSJF0C59JB282440
44925,40262,Unspecified,2015,WBSFV9C53FD595329
36888,86629,Unspecified,2014,WBSFV9C58ED593994
58500,22479,Unspecified,2016,WBSFV9C57GD595741
84999,20599,Unspecified,2018,WBSJF0C59JB282552
79800,26413,Unspecified,2018,WBSJF0C54JB282538
36998,62589,Unspecified,2013,WBSFV9C57DD096899
34995,64852,Unspecified,2013,WBSFV9C52DC773752
37995,63706,Unspecified,2013,WBSFV9C59DD097018
86000,14251,Unspecified,2019,WBSJF0C59KB284500
42998,48167,Unspecified,2014,WBSFV9C55ED097213
90990,28629,Unspecified,2019,WBSJF0C5XKB447414
84990,14182,Unspecified,2018,WBSJF0C54JB282832
43997,46692,Unspecified,2014,WBSFV9C59ED593597
88931,13463,Unspecified,2018,WBSJF0C52JB282411
81988,27933,Unspecified,2018,WBSJF0C52JB282134
39990,61392,Unspecified,2014,WBSFV9C52ED097699
38625,77376,Unspecified,2014,WBSFV9C59ED593146
18500,93000,Unspecified,2006,WBSNB93556B581674
36480,68893,Unspecified,2013,WBSFV9C57DD096935
78998,24392,Unspecified,2018,WBSJF0C56JB282069
37990,49202,Unspecified,2013,WBSFV9C5XDC772509
23998,61087,Unspecified,2008,WBSNB93508CX08828
77599,52248,Unspecified,2019,WBSJF0C58KB284987
114975,2639,Unspecified,2021,WBS83CH04MCF14109
80286,19541,Unspecified,2018,WBSJF0C59JB283054
35000,78009,Unspecified,2014,WBSFV9C57ED593260
45488,46148,Unspecified,2015,WBSFV9C58FD594242
104450,4415,Unspecified,2020,WBSJF0C0XLCD33495
24995,69924,Unspecified,2008,WBSNB93548CX08833
95950,10273,Unspecified,2019,WBSJF0C5XKB284232
39990,48788,Unspecified,2013,WBSFV9C50DD096064
79995,29134,Unspecified,2018,WBSJF0C50JB282178
54950,54460,Unspecified,2013,WBSFV9C58DC774159
31495,108400,Unspecified,2014,WBSFV9C55ED593323
109900,7310,Unspecified,2021,WBS83CH07MCF30207
36999,71444,Unspecified,2014,WBSFV9C55ED097776
81560,37215,Unspecified,2018,WBSJF0C5XJB282978
37990,52160,Unspecified,2013,WBSFV9C51DC774049
59500,34938,Unspecified,2016,WBSFV9C54GD595678
24998,73269,Unspecified,2008,WBSNB93518CX09633
87877,18726,Unspecified,2018,WBSJF0C57JB282565
49999,42062,Unspecified,2000,WBSDE9346YBZ95480
99000,43480,Unspecified,2001,WBSDE934X1BZ97707
88995,20483,Unspecified,2018,WBSJF0C57JB282033
16899,123198,Unspecified,2007,WBSNB93577CX06928
37324,82202,Unspecified,2014,WBSFV9C56ED097723
84950,26777,Unspecified,2018,WBSJF0C50JB283024
73700,40548,Unspecified,2018,WBSJF0C58JB282154
48500,41695,Unspecified,2015,WBSFV9C58FD595200
59991,26788,Unspecified,2016,WBSFV9C55GG343646
44700,73422,Unspecified,2015,WBSFV9C52FD594365
96900,6885,Unspecified,2019,WBSJF0C54KB285019
43399,77846,Unspecified,2015,WBSFV9C59FD594704
18900,91000,Unspecified,2008,WBSNB93578CX10625
39997,56464,Unspecified,2013,WBSFV9C56DD096330
95991,17973,Unspecified,2019,WBSJF0C53KB285626
38900,61632,Unspecified,2014,WBSFV9C51ED097337
62385,23238,Unspecified,2016,WBSFV9C55GD595513
36692,82292,Unspecified,2014,WBSFV9C54ED593779
79998,21491,Unspecified,2018,WBSJF0C51JB282206
54995,29637,Unspecified,2016,WBSFV9C53GD595557
39667,71046,Unspecified,2013,WBSFV9C59DC773344
101698,6596,Unspecified,2020,WBSJF0C08LCD63546
38999,65599,Unspecified,2014,WBSFV9C58ED592960
51899,30101,Unspecified,2016,WBSFV9C58GG343110
73961,54522,Unspecified,2018,WBSJF0C50JB282164
69997,57075,Unspecified,1993,WBSHD9315PBK06566
59995,33725,Unspecified,2013,WBSFV9C54DD096343
89900,16420,Unspecified,2019,WBSJF0C54KB284355
