Price,Miles,Trim,Year
50000,23374,75D,2017
49207,34845,75D,2018
50988,20503,75D,2018
44988,53961,75D,2017
45997,39129,75D,2018
47999,32139,75D,2017
45990,47409,75D,2017
45833,34742,75D,2017
41999,32159,75D,2016
49985,40498,75D,2018
44999,30590,75D,2017
52975,12105,75D,2017
48995,27876,75D,2018
45230,18275,75D,2017
47998,29417,75D,2017
47299,15651,75D,2017
47799,13906,75D,2017
39899,45401,75D,2016
44900,31605,75D,2016
46999,33587,75D,2017
39940,84415,75D,2017
48500,24753,75D,2018
48595,35309,75D,2018
39980,38885,75D,2016
49499,21493,75D,2018
47799,26372,75D,2017
49989,53523,75D,2018
47585,25549,75D,2018
44800,38747,75D,2017
48990,18023,75D,2018
48975,32720,75D,2018
46875,28448,75D,2016
50780,30825,75D,2018
49975,24199,75D,2018
49099,30139,75D,2018
44500,36854,75D,2016
46355,30778,75D,2018
51500,28246,75D,2018
51991,51983,75D,2018
52825,23388,75D,2018
49999,13264,75D,2017
48250,24835,75D,2017
49995,23570,75D,2017
67990,22422,75D,2019
45999,24395,75D,2018
49500,20936,75D,2018
50995,22354,75D,2018
49395,28901,75D,2018
49898,31668,75D,2018
40980,40675,75D,2016
48950,22908,75D,2017
48495,31944,75D,2018
49599,31396,75D,2018
48595,31430,75D,2018
45000,26442,75D,2016
47555,27151,75D,2018
46500,32737,75D,2017
43999,53876,75D,2016
54000,13617,75D,2017
48800,32595,75D,2018
49889,34998,75D,2018
44988,30803,75D,2016
41299,46469,75D,2016
73761,16637,75D,2019
56989,21319,75D,2018
51898,28855,75D,2018
51898,30226,75D,2018
53900,15285,75D,2017
52977,23202,75D,2017
40999,40494,75D,2016
51900,31697,75D,2018
53900,28503,75D,2018
44999,69791,75D,2016
42495,52226,75D,2017
45995,37550,75D,2016
64950,26124,75D,2018
42999,41056,75D,2017
52955,31849,75D,2018
55980,19059,75D,2018
55997,11821,75D,2018
50990,24433,75D,2018
49995,20996,75D,2016
57849,25393,75D,2018
45900,49625,75D,2017
62900,22700,75D,2018
42980,44642,75D,2017
42995,53418,75D,2016
45730,25279,75D,2017
49739,31329,75D,2018
48230,13609,75D,2017
51895,26247,75D,2018
68995,32200,75D,2018
55989,11884,75D,2018
54989,18666,75D,2018
51585,23189,75D,2018
44998,19852,75D,2017
49996,27355,75D,2018
47612,32344,75D,2018
46990,20287,75D,2017
46995,46245,75D,2018
54900,20563,75D,2018
50979,28419,75D,2017
52988,27901,75D,2018
54997,28617,75D,2018
52988,32428,75D,2018
84800,8147,Performance,2019
88888,4126,Performance,2019
31990,74984,Performance,2013
32990,69961,Performance,2013
32995,62737,Performance,2013
31966,31479,Performance,2013
28995,79876,Performance,2013
79998,11608,Performance,2019
30590,52059,Performance,2012
32786,66529,Performance,2013
34880,25695,Performance,2012
28947,87211,Performance,2013
29998,79925,Performance,2013
31500,49866,Performance,2013
30880,50380,Performance,2013
32990,60547,Performance,2013
29999,61749,Performance,2013
28985,72613,Performance,2013
33995,60000,Performance,2013
88740,5756,Performance,2020
29995,73218,Performance,2013
89390,2577,Performance,2019
30200,67025,Performance,2013
86775,7445,Performance,2020
35000,36150,Performance,2013
30800,67713,Performance,2012
37400,42570,Performance,2013
90998,13765,Performance,2019
34590,47372,Performance,2012
37068,22433,Performance,2013
32399,64720,Performance,2013
32981,50223,Performance,2012
74180,54409,Performance,2019
29999,77965,Performance,2013
30495,82224,Performance,2013
25995,138799,Performance,2013
