Price,Miles
39500,14445
41064,8992
32991,60922
36987,3796
37265,13620
36590,21970
36762,19327
44499,20327
39999,36177
35995,23425
38998,8870
39888,27689
41956,23359
42995,15228
34980,27527
33590,55828
41999,13174
37434,9686
39480,32377
39123,7720
42321,17905
37980,17871
41595,16992
40991,12586
39621,8634
36990,7149
37989,9195
37490,18896
37791,34754
40480,8331
36995,13111
39988,13746
39988,21971
38995,5488
41975,22865
37100,5048
43777,2960
41600,23444
38291,13104
35800,39414
36995,24377
34990,39088
38990,32399
38948,12854
35990,28406
36930,12972
35800,13876
40989,23139
42995,17134
36900,8793
34500,28234
38988,5163
37480,23477
39480,32589
38966,3600
40000,16142
36195,32057
34350,25955
36480,23293
34590,43036
35990,17887
41900,20759
44990,23411
39480,19471
42480,19494
34980,19070
34928,51483
36951,18568
36499,16582
34480,34657
35995,19025
39499,8273
39980,10407
39795,4815
36980,18763
35990,5661
38788,10459
35953,9954
42300,12740
36990,13541
40189,31915
39480,30547
38980,28128
38999,5670
40998,11817
42495,8649
34980,16450
40888,28852
35980,15511
43669,8875
35990,23792
35990,20520
39289,4042
39068,20617
36999,6982
38296,21369
35980,30784
34990,43701
32991,60922
37498,11808
37990,44440
43995,6694
44995,10784
36999,24920
38990,6304
34930,24379
35930,18553
39895,4715
35953,23380
38350,6361
35480,17727
36980,24551
37888,20089
35480,18469
36590,15184
33979,28095
37998,13587
43490,10715
38550,4110
36980,27359
42689,15330
39995,2205
38980,18793
35450,20935
34980,28043
36799,18065
35450,27082
35499,26665
34930,23709
47995,13554
36298,25056
40497,9858
34577,23760
46990,15869
41980,18396
35480,19247
36480,20586
46980,13688
36990,15012
35980,29381
37980,13015
36590,20492
36990,30392
36990,15881
40990,27834
35980,12016
37980,7930
36990,11536
38500,5213
41991,28187
42991,18520
37995,22448
36988,10108
37855,4898
38980,18076
37932,5659
38480,7329
34988,6879
35980,29306
40480,32712
36480,14045
37994,12791
35990,17639
39999,15941
35480,14435
37989,22786
38900,20657
45480,19831
45098,6966
42900,18654
39325,15367
37985,21000
46990,4687
38899,25124
42490,16489
36500,21213
37998,34875
35480,11455
34350,36955
43990,12474
46480,14581
42998,14546
36590,24955
34980,29515
40980,25142
42980,15261
37990,13660
37590,8558
41489,22010
34350,36291
39990,52996
38995,17096
38000,13382
46699,700
35883,42549
41855,10436
40981,43344
42856,17891
43428,17729
38649,24943
41991,23039
35990,43147
50990,13007
35480,34895
37999,16034
44995,9766
37454,18877
35990,22143
45490,42725
45990,24271
43490,10881
41975,7486
38197,46443
42777,16290
37998,15158
49987,8863
41000,27579
38995,26434
44080,18252
35980,42823
37490,28721
38855,6673
35450,17732
38790,17349
39921,12039
37933,10035
42986,18787
43990,24506
37930,7770
42800,13182
46990,32083
39498,20398
42449,16320
43449,12395
47449,25498
36594,36753
39794,47554
38990,11292
35800,50036
39988,3381
37775,15317
45848,15583
35800,49873
35995,26650
41495,31906
37454,7918
37500,14992
37930,19724
42500,17163
40995,31858
34990,16765
39999,11242
34995,38903
35480,16488
38488,20373
36480,44108
37590,22093
39414,2254
44490,29878
52995,1456
33995,39944
35931,23733
36480,9375
36980,9443
35990,22489
37930,16300
39800,38278
49500,8626
44120,15768
37989,18280
37995,24522
38600,17516
37735,22110
41480,14368
41500,26704
42991,26431
41998,22220
35495,13087
37930,8604
35486,33237
37450,29437
36480,43068
37930,15991
38418,13318
34999,12000
37855,24866
50490,30667
37995,14192
48499,5998
41999,5676
38500,17972
41980,7029
37480,23158
37991,18860
41998,21150
36990,7450
44980,18586
35980,10104
36888,26023
36800,10471
44980,10779
40941,17538
45989,4120
44500,13456
37450,23023
43999,24040
43143,10031
38772,20729
42444,7402
42500,27109
34495,18160
34995,29219
34995,46042
34200,23601
37661,26144
48991,2362
32900,30934
50989,8214
47975,5543
43490,9252
37444,57223
37451,32804
41800,28535
36000,37870
44990,21755
39950,7800
45388,20128
43480,20361
44750,9751
38490,16411
42736,22935
38981,18041
42500,22690
35980,27125
42998,13385
39991,785
38950,17760
42980,13637
44952,12200
38388,9495
36950,32411
39999,12573
41980,28785
34930,29166
38450,6068
45980,18469
37995,18206
39998,7528
46999,21810
40998,13842
36499,22994
41495,27411
34995,18404
38495,3143
37995,10876
35995,22819
41064,8992
36950,38018
36995,6128
37598,7854
34995,30601
46998,2559
34799,44000
42900,23709
41289,11017
35150,27496
36900,17698
42271,29725
35989,64011
37888,20023
38450,7068
48500,5712
47816,1026
38000,28975
44000,14449
50547,11176
49970,4652
44900,10183
40900,36100
49500,13200
39883,18573
49875,7865
37991,25000
40499,36165
52995,5549
34995,41750
41988,9089
42500,21911
49950,11316
39995,12007
43878,16726
41995,11976
43999,25507
41989,20646
38750,2793
34930,29266
39988,34065
38450,25403
40000,9552
38900,5200
35495,10837
43495,17218
40985,7289
44884,13903
46955,8905
43495,25462
44995,8688
39998,7690
37933,16609
42941,6316
36933,34586
46500,28596
47800,6196
44990,573
44900,25176
36498,17729
36995,30538
43995,23640
40875,30815
35990,49478
56994,10326
51951,3923
47454,18020
42860,34989
44988,14782
35995,47924
38488,38977
38000,37070
38751,22419
47977,10208
47491,13724
47223,4860
39888,22482
41999,17099
36953,26380
38751,19951
36953,26998
37950,8324
39900,20526
38980,19379
39894,27388
40998,24243
38995,15994
48950,9183
38500,7975
47000,7985
34995,19272
36495,29281
48495,6042
46995,12147
48799,9136
39999,21929
47999,7922
52200,20476
45438,13235
45500,10838
46990,11839
41981,5420
40980,10380
50480,24250
48983,3982
39998,64163
44994,9404
37997,11675
40500,3714
49995,11222
42941,8638
47500,14329
51951,5407
47000,13969
54995,24500
39833,4207
49700,12780
45894,18513
36212,59275
43900,19000
57074,8012
41500,18951
41499,22914
41895,10487
39900,8405
40199,24565
